Timestamp,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
1,241.4399,461.1727,182.4439,132.4895,115.7391,5.854,0.0,852.2488,636.7332
2,241.4024,427.8715,164.3209,123.2427,108.7908,5.8361,0.0,803.3182,586.581
3,241.2696,411.5753,157.2895,117.7132,105.6663,7.0504,0.0,781.5532,557.8557
4,241.9161,409.2783,155.2098,115.4354,104.761,3.9987,0.0,773.3303,545.3642
5,241.9192,418.1171,155.9914,117.0667,105.4848,4.7458,0.0,780.6175,551.994
6,242.3266,448.7504,168.0567,123.8504,109.6066,19.6832,0.0,859.1196,630.1
7,246.489,538.6429,213.0416,141.5861,123.631,44.302,0.0,1069.1782,834.4534
8,251.231,646.0068,276.8015,169.0206,140.2158,63.5209,0.0,1135.2976,927.0989
9,252.3434,691.6776,310.8209,182.2709,148.1718,67.0132,0.0,1141.6714,931.3788
10,252.388,703.4189,319.551,185.4995,151.3746,65.3749,0.0,1143.4236,935.286
11,252.2451,707.9789,323.1708,187.2002,151.7942,66.4198,0.0,1144.9507,942.0837
12,252.4662,693.0447,315.8848,185.1093,149.8815,57.3612,0.0,1143.8336,950.1935
13,253.3977,676.8074,306.575,178.6577,147.1675,62.2096,0.0,1136.8914,956.7419
14,252.3638,663.7946,302.1545,179.0463,144.4776,65.2739,0.0,1126.4812,952.9849
15,251.1983,658.3237,299.3954,180.7774,144.2266,61.8273,0.0,1113.3921,943.6791
16,250.9036,651.3564,298.7351,181.4629,144.5284,63.6892,0.0,1107.1776,932.9238
17,251.6071,653.6372,299.2143,178.0235,146.3214,64.5445,0.0,1108.0616,925.3113
18,252.9127,651.9399,297.4727,176.6852,146.457,65.0469,0.0,1113.3387,926.5163
19,253.201,651.4141,295.6515,177.1369,145.9471,62.5074,0.0,1116.4629,928.8921
20,254.1648,647.8378,294.1725,177.6486,145.023,57.3692,0.0,1120.1113,928.984
21,254.1922,634.628,286.3188,175.8889,142.8935,50.6325,0.0,1123.4483,929.1413
22,254.0697,611.0372,271.2964,171.4574,139.4309,48.3649,0.0,1123.2124,921.0177
23,253.0217,569.5703,249.5134,162.6587,132.9837,38.526,0.0,1074.5206,791.3476
24,251.8603,513.8198,217.4577,148.832,123.1276,16.8684,0.0,943.5306,638.8528
25,249.4883,468.6297,198.0388,135.5958,116.9084,0.0,0.0,869.7161,547.9968
26,247.7627,438.5474,180.4293,126.7015,109.9134,0.0,0.0,817.9711,483.9556
27,246.3751,424.1952,171.7109,121.5915,106.788,0.0,0.0,795.5066,455.9521
28,245.8523,420.2286,168.8633,119.1132,105.8826,0.0,0.0,787.1103,443.7754
29,245.3582,426.8761,169.2446,120.261,106.6069,0.0,0.0,795.1093,443.1941
