Timestamp,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
1,0.0,379.1887,99.1089,185.2235,176.3671,4.9515,0.0,363.2775,78.9932
2,0.0,351.7955,88.5284,172.3727,165.8998,4.9336,0.0,340.9234,72.054
3,0.0,338.4953,83.1595,164.6672,161.1883,5.9579,0.0,332.8494,69.6357
4,0.0,336.6463,81.1673,161.5734,159.823,3.3812,0.0,331.1312,70.0212
5,0.0,343.8331,81.0564,164.0207,160.9148,4.0143,0.0,337.737,72.385
6,0.0,368.7824,87.3117,173.4734,167.1296,16.6242,0.0,376.7769,84.368
7,0.0,442.6869,111.5416,198.0261,188.238,37.3955,0.0,478.2372,117.6864
8,0.0,531.0668,148.264,236.1026,213.1258,53.6314,0.0,515.7976,137.0989
9,0.0,568.5616,167.9684,254.6569,225.0378,56.6297,0.0,522.1714,141.3788
10,0.0,578.1749,173.181,258.9735,229.8276,55.2954,0.0,523.9236,145.286
11,0.0,581.9789,175.6633,261.0482,230.4542,56.1503,0.0,525.4507,152.0837
12,0.0,569.8167,171.6323,257.9713,227.5755,48.5832,0.0,524.3336,160.1935
13,0.0,556.7154,165.315,249.0547,223.4815,52.5956,0.0,517.3914,166.7419
14,0.0,545.9706,161.7345,249.8173,219.4346,55.1184,0.0,506.9812,162.9849
15,0.0,541.3397,158.8529,252.5854,219.0686,52.2228,0.0,493.8921,153.6791
16,0.0,535.6324,156.6176,253.7979,219.5544,53.8282,0.0,487.6776,142.9238
17,0.0,537.7172,156.8168,249.1345,222.2674,54.5695,0.0,488.5616,135.3113
18,0.0,536.5519,155.6877,247.4392,222.472,55.0339,0.0,493.8387,136.5163
19,0.0,536.2781,155.774,248.3839,221.7091,52.8839,0.0,496.9629,138.8921
20,0.0,533.4018,156.36,249.1166,220.325,48.5627,0.0,500.6113,138.984
21,0.0,522.404,151.9538,246.9319,217.1375,42.8615,0.0,503.9483,139.1413
22,0.0,502.8732,143.0914,240.9364,211.9499,40.8789,0.0,503.7124,139.7867
23,0.0,468.6863,130.3034,228.6867,202.2827,32.5315,0.0,479.6767,120.4796
24,0.0,422.5398,112.9827,209.641,187.4816,14.2844,0.0,418.7521,97.3868
25,0.0,385.2737,101.2988,191.1688,178.1574,0.0,0.0,385.5769,83.7928
26,0.0,360.3154,91.5643,178.7555,167.6204,0.0,0.0,362.6386,74.8936
27,0.0,348.5112,86.3984,171.6735,162.908,0.0,0.0,352.8119,71.1431
28,0.0,345.3846,84.3208,168.1752,161.5426,0.0,0.0,349.8672,70.5794
