Timestamp,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
1,413.4399,461.1727,251.4929,225.5495,226.4511,9.7965,0.0,1424.4913,636.7332
2,413.4024,427.8715,227.1204,209.9427,213.0768,9.7786,0.0,1344.4582,586.581
3,413.2696,411.5753,218.7115,200.5732,207.0543,11.8229,0.0,1306.6707,557.8557
4,413.9161,409.2783,216.5593,196.8554,205.309,6.6962,0.0,1290.8353,545.3642
5,413.9192,418.1171,218.0804,199.9267,206.7048,7.9413,0.0,1298.92,551.994
6,414.3266,448.7504,234.9597,211.4204,214.6486,33.0462,0.0,1423.6046,630.1
7,418.489,538.6429,297.1416,241.1861,241.609,74.4725,0.0,1760.7557,834.4534
8,423.231,646.0068,383.304,287.4006,273.3558,106.7224,0.0,1860.2976,927.0989
9,424.3434,691.6776,429.1844,310.0109,288.5358,112.3727,0.0,1866.6714,931.3788
10,424.388,703.4189,440.829,315.1595,294.6366,109.4064,0.0,1868.4236,935.286
11,424.2451,707.9789,445.3913,317.5202,295.4342,111.2813,0.0,1869.9507,942.0837
12,424.4662,693.0447,435.4083,313.6893,291.7575,95.7072,0.0,1868.8336,950.1935
13,425.3977,676.8074,423.619,302.8877,286.5235,104.2076,0.0,1861.8914,956.7419
14,424.3638,663.7946,418.5025,303.9363,281.3556,109.6374,0.0,1851.4812,952.9849
15,423.1983,658.3237,415.8449,307.4974,280.8946,103.7838,0.0,1838.3921,943.6791
16,422.9036,651.3564,416.4896,309.1129,281.5324,106.7662,0.0,1832.1776,932.9238
17,423.6071,653.6372,417.2008,303.5135,285.0054,108.1195,0.0,1833.0616,925.3113
18,424.9127,651.9399,414.9517,301.5452,285.267,108.7879,0.0,1838.3387,926.5163
19,425.201,651.4141,411.55,302.8669,284.2951,104.5469,0.0,1841.4629,928.8921
20,426.1648,647.8378,408.36,303.7686,282.531,95.8397,0.0,1845.1113,928.984
21,426.1922,634.628,397.6498,301.2589,278.4695,84.5795,0.0,1848.4483,929.1413
22,426.0697,611.0372,377.5234,294.0674,271.8569,81.0669,0.0,1848.2124,921.0177
23,425.0217,569.5703,348.2874,279.1787,259.5297,64.7125,0.0,1770.6656,791.3476
24,423.8603,513.8198,304.0227,256.142,240.6436,28.1564,0.0,1557.6781,638.8528
25,421.4883,468.6297,278.1948,233.6658,228.7544,0.0,0.0,1436.3036,547.9968
26,419.7627,438.5474,254.0603,218.5615,215.2914,0.0,0.0,1350.8461,483.9556
27,418.3751,424.1952,242.3984,209.9715,209.268,0.0,0.0,1313.5916,455.9521
28,417.8523,420.2286,238.9128,205.6932,207.5226,0.0,0.0,1298.8153,443.7754
29,417.3582,426.8761,239.8016,207.681,208.9189,0.0,0.0,1309.9318,443.1941
30,417.8549,451.9543,256.8335,219.9838,216.864,16.4916,0.0,1438.3784,518.5196
31,421.585,538.8086,317.854,250.1761,244.0026,51.137,0.0,1784.1838,741.227
32,426.0415,643.6458,403.8253,295.321,276.016,82.7561,0.0,1885.5216,957.8853
33,427.5914,688.6629,448.7334,316.6085,291.0248,100.5044,0.0,1892.7087,961.0405
34,427.2975,701.6738,459.8955,322.2837,297.2133,105.6298,0.0,1897.4764,964.1249
35,426.7785,706.1193,464.6225,325.2342,298.0116,103.4153,0.0,1900.6706,971.9873
36,429.9175,694.246,454.743,322.244,294.3412,90.171,0.0,1895.4922,978.0036
37,429.9671,678.8993,442.0337,310.5037,289.1193,94.0333,0.0,1892.0368,985.0677
38,429.1358,663.4224,436.0095,309.8333,284.0332,91.8787,0.0,1888.4585,984.4623
39,427.4733,657.5553,432.2865,312.7743,283.5697,86.924,0.0,1883.7658,977.1126
40,425.8422,652.9783,431.1146,313.896,284.2057,92.1759,0.0,1881.955,969.5081
41,425.3458,658.9365,431.4235,308.8022,287.6728,96.9949,0.0,1885.9044,962.2504
42,424.634,661.6006,428.6048,305.8909,288.0198,105.0136,0.0,1890.1635,964.1105
43,423.6719,664.3581,425.5694,305.778,287.0484,102.6172,0.0,1889.3055,963.5547
44,422.629,663.5316,422.8554,306.946,285.3703,95.8428,0.0,1883.9559,963.9771
45,421.5978,651.7123,412.0803,302.6281,281.2223,83.7652,0.0,1876.2915,939.3081
46,419.7562,628.6254,392.1414,294.6292,274.6951,73.7002,0.0,1866.8238,845.4224
47,417.1249,588.798,363.5542,279.7763,262.3639,54.2611,0.0,1808.6935,722.2911
48,415.3365,531.4644,319.5734,255.7821,243.2993,34.1173,0.0,1592.7427,604.8138
49,411.8136,463.973,283.9726,234.1229,227.9382,15.0248,0.0,1418.6623,483.3692
50,409.1915,430.2169,260.4084,218.6064,214.5658,13.5685,0.0,1341.3185,438.7789
51,407.5455,411.107,248.097,208.8266,208.5444,18.857,0.0,1311.3745,425.1006
52,407.0772,404.384,241.1173,204.0407,206.7993,16.6111,0.0,1301.3291,435.1047
53,406.7641,408.939,238.5133,205.3361,208.2814,21.9202,0.0,1318.7916,461.0648
54,408.398,434.1113,251.523,216.3113,216.1378,37.1937,0.0,1448.1246,555.7138
55,412.2975,519.4597,311.1796,246.9011,243.1809,74.9249,0.0,1784.9287,778.7787
56,418.4844,622.2384,399.2607,292.3131,275.0118,109.224,0.0,1833.1827,935.5965
57,421.6932,664.6535,445.4516,313.699,289.9269,125.2651,0.0,1840.4221,935.7826
58,422.7804,674.5973,455.4867,319.5371,296.0276,132.4393,0.0,1846.6422,937.065
59,423.5911,678.6928,459.2272,322.7275,296.9111,131.5023,0.0,1855.1074,942.2267
60,426.2797,669.0767,449.3972,320.0478,293.0615,113.3562,0.0,1866.0806,949.1958
61,426.7494,654.7272,438.0551,308.0376,287.8328,117.7354,0.0,1868.4548,956.4179
62,425.8686,642.3751,433.2483,307.8888,282.9194,127.9957,0.0,1865.6312,956.981
63,424.1918,637.731,430.3467,309.8356,282.1041,135.195,0.0,1864.0653,954.0136
64,423.3008,631.2601,429.2714,310.3325,282.6627,136.3963,0.0,1866.43,948.1774
65,423.5055,635.3274,429.3384,304.3877,286.0451,127.3121,0.0,1876.182,944.6932
66,424.5003,636.3839,426.701,301.9647,286.3067,124.3939,0.0,1883.1194,947.7915
67,424.8073,636.9669,423.0901,302.1625,285.599,117.2065,0.0,1885.672,948.845
68,424.464,633.0788,419.5446,303.2988,283.8344,112.7274,0.0,1887.6641,946.7846
69,423.5519,620.22,407.1655,300.4413,279.5975,107.4536,0.0,1886.1917,945.4382
70,422.1364,597.8402,383.8441,292.5726,272.9851,103.7481,0.0,1879.9078,840.3274
71,419.7862,558.4842,351.9613,277.7309,260.7474,85.6979,0.0,1767.2288,709.0196
72,418.4668,501.7044,307.6333,254.9594,242.0411,57.395,0.0,1549.2203,555.5252
73,416.2454,467.0885,281.3708,239.7032,233.2515,34.0046,0.0,1426.6482,455.8979
74,414.3477,434.7389,255.7642,224.5813,219.6933,23.8787,0.0,1345.5386,395.2941
75,413.3737,420.6429,241.3192,216.4651,213.4933,17.58,0.0,1311.6464,367.1785
76,412.2069,420.0871,236.1413,212.6582,211.6601,15.3247,0.0,1301.0052,367.6354
77,411.1808,428.7342,237.8049,214.0364,213.0561,24.605,0.0,1316.1921,383.8544
78,412.3962,456.5138,256.7263,226.5832,220.8293,42.8909,0.0,1446.1737,461.5748
79,416.5572,541.5639,322.0459,256.6677,247.5403,75.6601,0.0,1780.7791,669.824
80,421.3628,642.3329,413.1863,301.1455,279.2134,105.4542,0.0,1865.5889,886.7555
81,423.5179,687.5016,461.915,323.745,294.7541,117.8508,0.0,1873.0624,969.6686
82,424.9468,701.9033,475.7284,329.9083,301.6549,128.2074,0.0,1880.0032,972.9486
83,425.1141,708.5033,480.9623,333.4693,302.805,132.0325,0.0,1886.4808,980.7203
84,426.3633,695.0116,471.1436,330.3097,299.0502,131.0628,0.0,1895.1583,989.0328
85,426.9873,681.0529,458.6942,319.6432,293.6473,135.9876,0.0,1895.4642,950.7618
86,426.32,669.8085,453.2729,320.7013,288.5625,140.257,0.0,1893.4583,919.303
87,425.3599,664.513,450.0143,322.9858,287.7417,141.4143,0.0,1888.0319,908.4918
88,423.8563,660.193,449.165,323.3549,288.2901,153.7396,0.0,1884.2195,923.8078
89,423.3889,663.3357,449.7923,317.2458,291.7545,164.4684,0.0,1887.2887,943.1789
90,423.6102,663.8436,447.9819,314.6365,292.2787,172.5984,0.0,1889.534,971.1709
91,422.9018,665.5284,445.6388,314.3776,291.6603,170.4661,0.0,1887.1219,970.637
92,421.7965,664.1534,443.6675,314.8733,289.8936,166.1887,0.0,1879.3159,943.2133
93,419.8027,651.571,432.7912,310.1519,285.39,152.5771,0.0,1867.6847,880.3889
94,417.8298,628.2537,412.2854,301.5444,278.5956,134.8644,0.0,1852.1545,791.4267
95,415.0251,588.8995,383.5225,286.9982,266.2596,111.9668,0.0,1813.4237,677.5894
96,414.4907,533.0218,340.2874,264.6337,247.4511,78.2815,0.0,1602.7793,549.3783
97,410.3803,492.7307,305.904,251.7439,234.378,55.7392,0.0,1450.6681,470.5365
98,408.2164,462.5347,281.5965,236.9434,220.8235,48.9806,0.0,1372.4059,438.6948
99,407.1403,446.7734,269.0036,228.6656,214.7119,43.7451,0.0,1341.3525,435.5007
100,406.8074,442.9463,263.6176,225.1971,212.8783,31.079,0.0,1330.1541,451.3302
101,406.0153,447.9165,263.4663,227.2287,214.0999,20.8384,0.0,1340.7488,479.473
102,407.2077,472.4642,279.0346,237.8893,221.5227,30.0666,0.0,1461.8935,565.1096
103,411.8351,553.4447,336.9106,266.3855,247.2598,63.2384,0.0,1777.172,778.7231
104,416.9405,652.1379,419.3143,309.6205,277.8604,95.3684,0.0,1808.8481,922.3785
105,419.4022,697.211,464.5028,332.1424,293.2175,107.2393,0.0,1812.6445,921.6904
106,420.7601,711.8832,477.9993,338.8368,300.555,112.0172,0.0,1816.1921,920.2355
107,421.3741,719.751,484.1872,342.9045,302.0593,115.3637,0.0,1822.0314,924.7857
108,421.8169,709.4143,475.3656,340.3938,298.5754,118.4759,0.0,1824.5713,926.8062
109,421.8871,696.495,463.1061,330.1098,293.3575,121.2914,0.0,1822.8928,930.7503
110,420.5358,683.3811,456.7666,330.1675,288.3571,125.466,0.0,1818.502,931.1156
111,419.1482,677.1572,452.8692,332.6159,287.7189,132.2516,0.0,1815.2464,923.9793
112,417.5958,670.9337,452.3223,333.5709,288.2651,146.8217,0.0,1813.3007,916.7858
113,416.9036,675.3695,453.4557,327.8414,291.8125,152.0322,0.0,1815.2894,916.3985
114,416.3959,676.1608,452.1004,325.3909,292.5982,157.2333,0.0,1817.9466,923.4089
115,416.8644,678.3235,449.8083,326.3844,291.9796,154.3701,0.0,1816.1899,928.891
116,417.5853,675.5754,447.346,327.7053,290.3903,151.6479,0.0,1814.367,932.5595
117,417.8213,660.0995,436.3247,323.9043,286.1513,142.2823,0.0,1813.7534,934.503
118,417.1613,635.1267,414.6941,315.8637,279.4489,132.6554,0.0,1810.0138,883.9054
119,415.6309,595.3365,383.3372,300.3531,267.2039,117.3187,0.0,1804.0082,764.082
120,414.6394,539.3065,337.9482,276.051,248.3997,97.5127,0.0,1614.2208,620.2171
121,411.7797,490.7539,291.5725,255.1938,233.3384,77.249,0.0,1448.8752,494.1274
122,410.138,457.9015,265.0459,239.0084,219.96,71.7534,0.0,1368.0702,435.98
123,409.2678,443.1062,252.6702,228.269,213.9347,61.7176,0.0,1334.581,407.5233
124,408.6683,439.2937,248.2631,223.011,212.1039,51.5439,0.0,1324.1982,406.5405
125,408.3408,444.57,247.9024,223.9667,213.4995,47.5026,0.0,1337.3155,428.0874
126,409.4435,470.4822,263.7429,234.2914,221.3573,56.3255,0.0,1462.3259,513.1466
127,414.0281,552.9797,325.667,263.3806,248.1484,91.1489,0.0,1788.3483,731.0271
128,419.1032,654.0131,413.9282,308.4571,279.6366,122.29,0.0,1816.3132,940.582
129,421.2117,699.051,461.2219,330.1035,294.908,129.7311,0.0,1826.7584,939.7954
130,422.0126,712.4206,474.1576,335.6315,301.5413,130.2001,0.0,1836.7293,937.9391
131,422.3295,719.4252,479.0948,338.9194,302.6029,128.5111,0.0,1844.9448,941.5031
132,423.6848,707.7339,468.0523,336.8859,299.0255,121.3507,0.0,1853.9381,941.0621
133,423.4132,693.9081,455.7605,325.7464,293.7918,117.2588,0.0,1855.725,943.716
134,422.8674,682.5992,450.3049,325.2097,288.7123,114.7525,0.0,1852.5843,944.8354
135,423.4022,677.5294,446.9154,327.0867,288.2514,109.6571,0.0,1846.4746,937.9134
136,422.0223,672.8343,445.668,327.9398,288.8914,122.3906,0.0,1843.1468,932.8314
137,421.3611,678.9872,446.3238,322.3303,292.3563,130.3459,0.0,1847.8818,930.4127
138,421.7693,682.0433,444.7134,320.1837,292.787,138.8423,0.0,1855.515,937.1581
139,422.1496,685.4095,442.797,320.4008,291.9926,133.4052,0.0,1859.1223,943.1999
140,422.0646,683.1301,441.7778,321.0768,290.4028,124.7738,0.0,1861.8739,946.0159
141,421.2325,669.6699,431.7003,317.7752,286.3419,112.5846,0.0,1860.4173,930.1945
142,420.4652,647.4268,410.8018,309.8724,279.8133,98.8354,0.0,1854.9433,826.6632
143,418.3337,608.4897,380.4529,293.7486,267.3923,77.5198,0.0,1797.2211,698.8934
144,415.8853,554.1987,335.6007,269.2378,248.3231,52.7179,0.0,1590.3763,578.6641
145,412.1805,495.7174,289.7606,240.5777,233.0496,24.5123,0.0,1424.7652,482.9947
146,409.6354,466.8668,265.2753,224.3436,219.4951,23.7589,0.0,1346.6745,445.9636
147,407.8049,456.1996,252.4533,214.7237,213.4694,28.4951,0.0,1314.8253,441.6082
148,406.0606,457.1662,247.8167,211.1038,211.7243,31.4849,0.0,1305.1685,458.0057
149,405.2586,463.0811,247.9842,213.9953,213.2072,39.2349,0.0,1323.1462,486.6565
150,405.4433,487.2907,263.651,226.6241,221.3296,51.5461,0.0,1456.6309,592.2315
151,408.0775,569.6303,326.3163,258.5206,248.9167,85.3983,0.0,1793.7368,817.2031
152,412.2784,670.3987,415.9614,306.2581,281.2999,120.1868,0.0,1805.4055,916.9951
153,414.3756,713.2239,463.2323,329.2675,296.5794,137.7353,0.0,1810.4185,918.3509
154,415.0455,721.6054,474.9805,334.9402,302.7718,148.2921,0.0,1814.4787,918.9673
