Timestamp,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
1,123.8141,2169.8616,457.4732,772.362,896.1408,454.614,1173.8574,308.2207,63.2
2,123.8141,2169.8616,457.4732,772.362,896.1408,454.614,1173.8574,308.2207,63.2
3,123.8141,2169.8616,457.4732,772.362,896.1408,454.614,1173.8574,308.2207,63.2
4,123.8141,2169.8616,457.4732,772.362,896.1408,454.614,1173.8574,308.2207,63.2
5,123.8141,2169.8616,457.4732,772.362,896.1408,454.614,1173.8574,308.2207,63.2
6,123.8141,2169.8616,457.4732,772.362,896.1408,454.614,1173.8574,308.2207,63.2
7,123.8141,2169.8616,457.4732,772.362,896.1408,454.614,1173.8574,308.2207,63.2
8,123.8141,2169.8616,457.4732,772.362,896.1408,454.614,1173.8574,308.2207,63.2
9,123.8141,2169.8616,457.4732,772.362,896.1408,454.614,1173.8574,308.2207,63.2
10,123.8141,2169.8616,457.4732,772.362,896.1408,454.614,1173.8574,308.2207,63.2
11,123.8141,2169.8616,457.4732,772.362,896.1408,454.614,1173.8574,308.2207,63.2
12,123.8141,2169.8616,457.4732,772.362,896.1408,454.614,1173.8574,308.2207,63.2
13,123.8141,2169.8616,457.4732,772.362,896.1408,454.614,1173.8574,308.2207,63.2
14,123.8141,2169.8616,457.4732,772.362,896.1408,454.614,1173.8574,308.2207,63.2
15,123.8141,2169.8616,457.4732,772.362,896.1408,454.614,1173.8574,308.2207,63.2
16,123.8141,2169.8616,457.4732,772.362,896.1408,454.614,1173.8574,308.2207,63.2
17,123.8141,2169.8616,457.4732,772.362,896.1408,454.614,1173.8574,308.2207,63.2
18,123.8141,2169.8616,457.4732,772.362,896.1408,454.614,1173.8574,308.2207,63.2
19,123.8141,2169.8616,457.4732,772.362,896.1408,454.614,1173.8574,308.2207,63.2
20,123.8141,2169.8616,457.4732,772.362,896.1408,454.614,1173.8574,308.2207,63.2
21,123.8141,2169.8616,457.4732,772.362,896.1408,454.614,1173.8574,308.2207,63.2
22,123.8141,2169.8616,457.4732,772.362,896.1408,454.614,1173.8574,308.2207,63.2
23,123.8141,2169.8616,457.4732,772.362,896.1408,454.614,1173.8574,308.2207,63.2
24,123.8141,2169.8616,457.4732,772.362,896.1408,454.614,1173.8574,308.2207,63.2
25,123.8141,2169.8616,457.4732,801.7585,896.1408,454.614,1173.8574,318.3065,65.2681
26,119.6766,2103.3762,412.6018,801.7585,807.7309,450.3767,1149.8625,318.3065,65.2681
27,119.6766,2103.3762,412.6018,801.7585,807.7309,450.3767,1149.8625,318.3065,65.2681
