Area,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4,DK1,DK2,FI,UK,NL,DE,PL,LT
NO1,0,2200,500,0,600,0,0,2145,0,0,0,0,0,0,0,0,0
NO2,3500,0,0,0,500,0,0,0,0,715,0,0,1400,723,1444,0,0
NO3,500,0,0,400,800,0,600,0,0,0,0,0,0,0,0,0,0
NO4,0,0,1200,0,0,700,250,0,0,0,0,0,0,0,0,0,0
NO5,3900,600,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE1,0,0,0,600,0,0,3300,0,0,0,0,1500,0,0,0,0,0
SE2,0,0,1000,300,0,3300,0,7300,0,0,0,0,0,0,0,0,0
SE3,2095,0,0,0,0,0,730,0,6200,715,0,1200,0,0,0,0,0
SE4,0,0,0,0,0,0,0,2800,0,0,1300,0,0,0,615,600,700
DK1,0,1632,0,0,0,0,0,715,0,0,0,0,0,0,0,0,0
DK2,0,0,0,0,0,0,0,0,1700,0,0,0,0,0,0,0,0
FI,0,0,0,0,0,1100,0,1200,0,0,0,0,0,0,0,0,0
UK,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,0,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,0,1444,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0
PL,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0
LT,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0
