Timestamp,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
1,6563.5886,8071.2091,4585.2028,4283.6533,3171.1589,4973.7309,3843.635,14125.5211,4852.4635
2,6259.8984,7714.0918,4369.6404,4101.4182,3002.0273,4928.3478,3791.3989,13566.6646,4686.421
3,6120.93,7558.905,4257.8022,3993.0249,2925.5457,4925.1363,3755.8433,13324.7513,4619.9209
4,6085.5091,7542.9869,4216.4677,3943.3902,2902.8083,4908.5262,3756.3331,13239.6651,4620.281
5,6104.4744,7620.9385,4215.4292,3965.727,2920.677,4952.3972,3776.1311,13337.216,4669.5961
6,6341.4081,7906.0556,4355.9102,4099.9361,3021.8152,5161.7402,3915.6717,14230.1464,4935.8656
7,7133.12,8870.2935,4885.9932,4455.4967,3363.1773,5663.5897,4306.5253,16544.1328,5628.2462
8,8030.9282,10030.9147,5625.4889,4992.8508,3763.3933,6106.9453,4683.691,18796.9234,6330.0552
9,8386.7452,10514.7775,6006.8678,5247.1019,3953.2094,6248.5319,4828.3007,19801.9014,6647.7646
10,8508.3843,10636.2073,6103.4844,5313.2332,4029.8478,6278.9388,4882.9798,20286.1868,6767.5918
11,8548.3776,10689.1501,6142.7975,5351.6389,4040.4096,6263.4808,4893.1974,20608.7006,6856.4612
12,8460.96,10539.6873,6062.3045,5314.9413,3994.3302,6204.565,4842.1626,20584.2348,6829.7451
13,8380.2382,10387.299,5959.6363,5190.4859,3929.1202,6177.2784,4768.5108,20372.9554,6711.3338
14,8278.3844,10244.1839,5910.9169,5192.3394,3865.1743,6155.6668,4706.1764,20052.3832,6642.8663
15,8212.4043,10172.7333,5880.752,5217.7811,3859.8361,6099.8479,4686.6379,19819.3507,6538.3145
16,8190.6605,10104.0129,5875.3209,5225.9213,3866.036,6184.9979,4724.9688,19802.1934,6506.2311
17,8263.3435,10150.2368,5881.0836,5156.5269,3908.7505,6228.9946,4781.75,19894.0366,6502.8984
18,8279.6955,10156.1256,5861.1382,5126.355,3912.1771,6293.1536,4833.3586,20267.5785,6614.7241
19,8230.1312,10165.944,5838.8202,5129.0031,3899.7481,6235.4179,4753.5247,20115.8383,6590.4357
20,8164.8488,10136.5301,5821.0029,5138.575,3878.641,6161.9041,4678.5565,19712.6102,6485.5327
21,8043.0458,9983.5069,5731.8653,5098.2009,3826.7641,6017.2902,4559.3615,19026.5627,6279.7002
22,7853.9752,9720.1755,5559.6585,5006.4267,3744.3404,5851.2471,4415.2055,17967.5661,5990.8217
23,7508.0164,9272.3921,5306.3553,4830.5068,3589.4184,5562.8502,4228.2457,16603.3378,5610.0598
24,7028.6549,8641.7311,4931.0141,4546.2453,3350.6182,5308.3056,4032.3099,15169.6104,5159.8679
25,6622.1939,8151.6999,4624.4441,4278.1647,3182.4118,5017.8866,3918.0562,14371.4382,4898.9513
26,6316.3639,7791.0878,4407.8114,4095.9027,3012.3069,4971.7205,3865.1454,13802.7433,4731.1938
27,6176.1212,7634.2435,4294.6962,3987.9053,2935.6618,4966.8898,3828.7267,13556.7346,4663.8969
28,6140.142,7617.1754,4252.4644,3938.4697,2912.955,4950.8172,3829.5059,13469.9729,4664.1622
29,6158.5587,7694.3967,4251.9582,3961.228,2931.1497,4996.5728,3848.8645,13566.3589,4713.5273
30,6395.5514,7979.4511,4394.7408,4094.7561,3032.562,5205.1813,3990.1504,14467.467,4979.5858
31,7187.3847,8941.5152,4932.195,4451.0868,3376.001,5707.2602,4386.9212,16802.9607,5673.4245
32,8086.4844,10100.8972,5679.9392,4990.0191,3778.3228,6154.5639,4770.7233,19080.9988,6377.6065
33,8444.9047,10591.2693,6065.2726,5243.8008,3967.4899,6298.9552,4918.4181,20104.6306,6698.749
34,8570.061,10721.5594,6159.6601,5309.0266,4044.4285,6329.1845,4974.2507,20605.5465,6822.3411
35,8613.0363,10778.9891,6199.3151,5347.0827,4055.1668,6314.7931,4985.8553,20940.3524,6913.6673
36,8527.1711,10631.0652,6118.4251,5309.2981,4009.1658,6257.8711,4934.0564,20921.7035,6888.3997
37,8446.2732,10477.0719,6014.5939,5183.6778,3944.8262,6230.3546,4859.3506,20710.9405,6770.3477
38,8344.3657,10333.4953,5966.1488,5185.4838,3881.4554,6209.6577,4796.6281,20388.1584,6701.6436
39,8278.6273,10263.2969,5936.9515,5210.9676,3875.5506,6151.9939,4777.2239,20152.3722,6596.9659
40,8257.4308,10194.8571,5931.0685,5218.0073,3882.3197,6236.9228,4817.56,20137.069,6565.6607
41,8331.144,10242.5612,5935.3126,5148.7685,3925.5675,6282.899,4875.0446,20234.3066,6564.0281
42,8348.3355,10250.9294,5914.1204,5120.032,3929.4331,6346.3727,4927.6299,20618.4152,6678.0012
43,8299.7926,10262.8801,5890.8796,5123.6604,3917.4091,6288.1171,4847.9633,20471.2608,6655.2715
44,8235.8195,10235.666,5872.7713,5132.722,3896.2826,6214.817,4773.171,20066.8553,6551.3706
45,8115.5486,10085.041,5783.8918,5092.1778,3844.7521,6069.8366,4652.5626,19371.5556,6344.9166
46,7926.3581,9820.4267,5611.3216,5000.6342,3762.6025,5901.6239,4504.52,18293.9538,6053.3067
47,7577.8877,9369.2867,5354.914,4825.3184,3606.7945,5611.3449,4313.5999,16904.4516,5668.6169
48,7093.5995,8732.1768,4973.8063,4541.0909,3366.1987,5354.6,4112.4557,15443.6422,5213.9159
49,6533.7275,8032.376,4592.9925,4270.7101,3163.6188,4991.4024,3873.9338,14223.3517,4832.3756
50,6231.679,7676.9952,4378.2968,4088.2205,2994.5988,4945.2597,3820.8652,13657.055,4666.6893
51,6093.0226,7521.6967,4266.0756,3980.1414,2918.3346,4940.5656,3785.5668,13411.4457,4600.3665
52,6057.5117,7504.8378,4225.18,3931.5549,2895.6646,4923.9758,3786.5122,13324.6849,4600.1928
53,6075.8925,7580.2184,4225.9034,3954.8911,2914.03,4968.5144,3805.7185,13418.919,4648.7021
54,6309.7836,7862.8487,4368.9778,4088.7638,3014.682,5178.0184,3945.2881,14308.7805,4911.1302
55,7090.7242,8811.2522,4904.2904,4444.9902,3356.1182,5682.9614,4339.3784,16615.8019,5595.5121
