Timestamp,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
1,0.0,561.7516,98.096,194.2506,96.148,192.1248,0.0,175.2198,272.0329
2,0.0,506.2823,81.0724,176.1982,89.2431,188.0232,0.0,171.2887,190.5171
3,0.0,481.6025,76.5252,165.3641,86.2079,187.2762,0.0,175.6636,132.6564
4,0.0,486.1821,75.7242,161.0917,84.9834,186.8706,0.0,185.0497,98.1698
5,0.0,501.6247,76.9871,164.6575,85.433,190.5778,0.0,202.7775,84.3845
6,0.0,552.4518,88.1967,177.8173,89.1299,203.7639,0.0,222.2345,214.4952
7,0.0,709.0893,129.4542,212.1281,101.7391,239.276,0.0,256.6516,641.9124
8,0.0,889.4897,189.903,265.5008,117.2605,270.8386,0.0,283.5644,759.5114
9,0.0,965.2133,222.9532,291.0908,124.9724,276.5326,0.0,296.6528,783.2749
10,0.0,984.1539,231.6368,297.5578,128.3354,281.9661,0.0,301.9115,811.3978
11,0.0,991.176,235.5548,301.2525,128.8758,278.8861,0.0,315.2511,846.3996
12,0.0,963.5842,228.6485,297.3718,127.8691,289.7224,0.0,324.8446,887.6415
13,0.0,930.4562,218.9498,284.7506,125.7903,279.0969,0.0,319.9207,897.475
14,0.0,904.5618,213.8691,285.2073,123.7796,271.8206,0.0,295.9753,887.3376
15,0.0,897.2822,209.8747,288.1899,123.7461,273.1613,0.0,259.6775,868.4012
16,0.0,892.4103,206.9816,289.2029,123.5429,277.0608,0.0,232.3473,828.9265
17,0.0,900.9716,207.2841,282.4467,124.7974,279.2221,0.0,228.7664,795.2765
18,0.0,898.1379,205.4646,279.6181,124.7498,283.7321,0.0,240.1563,789.9979
19,0.0,896.2098,205.0065,280.0496,124.1828,283.3217,0.0,249.1242,792.8824
20,0.0,890.3344,205.0274,280.9965,123.2839,284.958,0.0,260.5875,796.6073
21,0.0,867.2511,197.639,277.2406,121.0953,273.6915,0.0,267.9057,801.6196
22,0.0,827.7225,183.1674,268.5915,117.8588,256.7063,0.0,270.4962,675.3751
23,0.0,757.5155,162.4888,251.9903,111.8195,232.7412,0.0,265.2229,342.018
24,0.0,673.095,133.2916,225.8065,102.243,219.2892,0.0,255.6167,0.0
25,0.0,599.8559,114.2247,201.0543,96.0766,198.1785,0.0,254.9738,0.0
26,0.0,555.7775,98.6802,184.4386,89.557,195.0723,0.0,257.5613,0.0
27,0.0,531.0349,91.1328,174.9696,86.8526,194.9049,0.0,256.4619,0.0
28,0.0,511.4974,88.7584,170.3185,85.7064,193.0684,0.0,263.7334,0.0
29,0.0,526.1056,89.0783,172.4603,86.159,196.6988,0.0,271.8102,0.0
30,0.0,570.0997,99.0159,185.4778,89.7861,212.2443,0.0,294.9234,0.0
31,0.0,713.6333,136.0349,217.9956,102.7495,253.0539,0.0,322.0447,221.6336
32,0.0,885.3567,190.3889,267.2376,118.5362,290.3569,0.0,349.1183,744.3669
33,0.0,957.7526,220.5605,290.7299,126.3291,292.5409,0.0,364.1628,879.8554
34,0.0,979.1956,227.8675,296.7749,129.5688,289.873,0.0,372.9927,888.08
35,0.0,986.5591,230.5694,300.3962,130.1308,290.9209,0.0,383.6512,920.8866
36,0.0,960.6076,226.082,296.8079,128.403,299.0832,0.0,387.1538,897.7409
37,0.0,929.9248,220.1061,285.3066,126.006,293.5362,0.0,386.5824,652.4368
38,0.0,903.6439,217.3463,285.5544,124.0388,292.5483,0.0,373.4735,591.4834
39,0.0,896.8543,215.4146,287.8462,124.3019,288.1639,0.0,349.6585,587.937
40,0.0,894.8856,215.5703,288.439,124.4461,295.5805,0.0,326.6474,692.1921
41,0.0,909.8966,216.3276,281.8865,125.7608,294.7165,0.0,329.4453,799.6407
42,0.0,913.7894,215.1958,279.3129,125.787,291.8128,0.0,338.3566,849.7817
43,0.0,915.9698,213.7992,279.6476,125.0608,289.5294,0.0,340.3492,799.8124
44,0.0,914.188,213.2395,280.4753,123.9581,290.3334,0.0,336.0399,675.7236
45,0.0,891.5388,206.0016,276.7542,121.8163,280.0636,0.0,322.4865,501.4223
46,0.0,850.5901,191.0165,268.1538,118.5592,265.5074,0.0,308.8295,273.7442
47,0.0,779.9968,169.205,251.7809,112.516,241.7912,0.0,291.1364,0.0
48,0.0,684.2509,140.1739,225.3104,103.3486,222.1962,0.0,280.2253,0.0
49,0.0,576.6788,115.2582,200.9807,95.7223,192.5676,0.0,260.7848,0.0
50,0.0,519.4233,100.4322,183.9806,89.2574,188.6816,0.0,238.9953,0.0
51,0.0,483.7874,92.8643,173.4645,86.1495,187.0288,0.0,217.5117,0.0
52,0.0,472.0071,89.2113,168.3038,85.2421,186.0717,0.0,207.0356,0.0
53,0.0,482.3264,87.8937,169.7741,86.1824,188.8183,0.0,194.8625,0.0
54,0.0,525.9933,96.4622,182.056,90.4065,204.049,0.0,196.9562,0.0
55,0.0,667.7302,137.254,215.9962,104.1055,241.1446,0.0,208.4819,246.1001
56,0.0,840.4026,200.7307,267.1241,120.4791,269.9294,0.0,225.0904,812.5428
57,0.0,916.1975,236.5133,291.8056,128.338,265.5652,0.0,238.4247,842.6732
58,0.0,934.2092,246.6817,298.0695,131.8409,260.5242,0.0,251.7205,839.2107
59,0.0,942.4142,250.9052,301.5983,132.5831,260.1831,0.0,279.8594,859.616
60,0.0,918.9143,242.511,297.6481,130.3361,274.1748,0.0,316.6194,884.2439
61,0.0,890.2753,231.8909,285.2918,127.3327,267.3517,0.0,331.1877,872.0527
62,0.0,864.48,226.3237,284.9868,124.7508,254.9487,0.0,324.9552,786.504
63,0.0,855.6915,222.3612,287.1563,124.1553,242.619,0.0,313.1922,752.9185
64,0.0,853.4271,220.7961,287.5286,123.995,248.0511,0.0,301.7318,833.4495
65,0.0,868.3104,220.8483,280.797,125.7911,261.2308,0.0,313.2065,852.1609
66,0.0,869.9283,219.341,278.085,126.0006,269.3347,0.0,330.2372,855.7658
67,0.0,870.5556,218.2612,278.5596,125.333,271.8808,0.0,338.5947,862.2515
68,0.0,869.0322,217.1932,279.3649,124.3241,270.4599,0.0,343.4754,856.4869
69,0.0,847.0919,208.8631,275.379,122.1682,263.6422,0.0,345.705,718.7408
70,0.0,805.9823,192.6581,266.4268,119.0827,246.6309,0.0,344.5772,457.224
71,0.0,736.8138,168.9363,249.8395,113.1636,225.0459,0.0,336.6429,126.2455
72,0.0,644.1363,135.7842,223.9927,103.6058,211.2549,0.0,342.2677,0.0
73,0.0,585.7654,116.4871,206.6366,99.065,193.3145,0.0,321.3243,0.0
74,0.0,535.9416,98.1121,189.7366,92.2005,191.7941,0.0,302.6652,0.0
75,0.0,515.2989,87.5867,180.5283,89.1231,192.8323,0.0,283.384,0.0
76,0.0,510.9116,83.8066,176.1947,88.0965,191.6223,0.0,274.5928,0.0
77,0.0,519.7686,85.556,177.8188,88.6397,193.3577,0.0,275.2842,0.0
78,0.0,561.1572,99.4009,190.948,92.5263,207.2649,0.0,289.4982,0.0
79,0.0,701.99,145.1164,223.0177,105.8805,245.8848,0.0,308.59,0.0
80,0.0,868.0293,208.1989,271.5534,121.743,277.4346,0.0,328.9469,467.2511
81,0.0,946.9571,241.9085,295.6944,129.27,277.3127,0.0,343.1983,725.652
82,0.0,972.8843,250.5813,302.8481,132.8809,269.9282,0.0,355.8516,785.4417
83,0.0,985.8202,255.6849,306.8279,133.6289,264.8471,0.0,375.1714,703.4211
84,0.0,961.5852,246.9585,303.2294,132.1062,261.2043,0.0,402.8443,467.2868
85,0.0,936.2627,236.5286,291.2036,129.3042,253.62,0.0,410.7575,163.4454
86,0.0,913.8974,229.248,290.1309,126.7993,247.212,0.0,400.869,28.7645
87,0.0,907.4373,223.0807,291.7671,125.6575,241.1883,0.0,372.1022,115.076
88,0.0,904.2483,220.0423,292.2031,125.1704,235.0079,0.0,349.5763,340.8924
89,0.0,912.1309,219.7495,286.3766,125.3688,227.6237,0.0,354.7539,537.57
90,0.0,912.2407,219.6477,284.4037,125.6057,224.2043,0.0,361.7698,620.4461
91,0.0,915.3211,217.6513,285.325,125.7438,221.5386,0.0,352.0789,594.795
92,0.0,914.6262,214.5275,286.0886,124.7303,220.2638,0.0,336.2384,513.4061
93,0.0,894.7112,204.9081,282.0594,122.2968,222.2084,0.0,317.4349,370.6974
94,0.0,857.8172,190.1025,273.0705,118.7612,227.1102,0.0,289.8506,158.1313
95,0.0,795.2955,170.299,256.7617,112.3876,217.7448,0.0,255.6091,0.0
96,0.0,704.6014,145.4368,231.3848,103.7273,208.7206,0.0,237.43,0.0
97,0.0,625.049,123.533,215.2207,96.9884,184.1027,0.0,202.8392,0.0
98,0.0,578.3075,109.3079,199.1649,90.389,182.4256,0.0,182.8249,0.0
99,0.0,553.9072,101.9824,189.9276,87.5192,183.6717,0.0,163.149,0.0
100,0.0,547.7575,99.2916,185.8035,86.6855,185.8641,0.0,150.7917,0.0
101,0.0,556.8175,99.0834,187.6832,87.2467,192.5445,0.0,148.6991,0.0
102,0.0,599.399,107.8164,198.6847,90.8423,208.5482,0.0,146.3076,0.0
103,0.0,729.0569,140.5903,228.3406,102.9504,246.1302,0.0,153.9425,335.1768
104,0.0,888.299,188.5405,274.1613,117.5636,279.8747,0.0,160.0177,799.0468
105,0.0,962.2073,215.5254,297.3891,125.0121,283.6367,0.0,158.1667,795.9664
106,0.0,984.8371,222.6857,304.7814,128.6201,282.6705,0.0,163.1425,789.1555
107,0.0,996.4126,225.9505,309.0965,129.7353,278.5409,0.0,187.5891,805.0768
108,0.0,974.7325,217.6574,305.7958,128.8947,271.0056,0.0,206.2159,823.3874
109,0.0,948.3578,215.5955,294.5856,127.3644,265.6344,0.0,215.7456,838.7053
110,0.0,924.9494,216.2299,294.4701,125.2817,259.5285,0.0,209.2144,828.668
111,0.0,917.7725,214.6634,296.286,125.0298,247.8687,0.0,195.4799,800.4525
112,0.0,911.4935,212.985,296.9989,124.8414,239.7929,0.0,177.5382,769.0988
