Timestamp,Total_Down_Reserve
1,3398.8
2,3235.99
3,3150.64
4,3115.33
5,3131.2
6,3362.58
7,4076.65
8,4475.15
9,4611.84
10,4675.68
11,4734.98
12,4796.68
13,4781.63
14,4732.5
15,4664.13
16,4575.24
17,4526.09
18,4535.76
19,4546.01
20,4559.75
21,4533.05
22,4329.76
23,3852.94
24,3332.3
25,3223.94
26,3161.19
27,3124.27
28,3109.51
29,3132.41
30,3234.45
31,3705.31
32,4556.81
33,4824.57
34,4862.55
35,4920.79
36,4909.09
37,4625.39
38,4534.84
39,4482.91
40,4553.16
41,4652.97
42,4706.82
43,4648.18
44,4500.65
45,4259.86
46,3934.17
47,3514.45
48,3371.96
49,3211.86
50,3124.26
51,3068.99
52,3042.24
53,3035.7
54,3099.16
55,3584.29
56,4482.34
57,4630.05
58,4661.31
59,4723.31
60,4799.74
61,4779.79
62,4658.41
63,4579.31
64,4632.45
65,4660.39
66,4686.5
67,4701.55
68,4689.8
69,4504.0
70,4143.43
71,3663.88
72,3399.28
73,3283.4
74,3189.77
75,3121.96
76,3095.71
77,3116.67
78,3214.82
79,3441.63
80,4229.75
81,4629.27
82,4728.84
83,4663.49
84,4426.32
85,4081.53
86,3904.32
87,3940.57
88,4126.98
89,4323.49
90,4418.43
91,4377.21
92,4262.02
93,4059.4
94,3755.98
95,3462.42
96,3331.11
97,3182.31
98,3099.04
99,3049.96
100,3027.27
101,3033.86
102,3089.71
103,3651.9
104,4399.55
105,4490.2
106,4520.71
107,4575.39
108,4608.71
109,4626.65
110,4595.97
111,4519.49
112,4430.67
113,4399.45
114,4422.25
115,4431.3
116,4443.46
117,4436.04
118,4162.25
119,3733.53
120,3253.51
121,3128.4
122,3059.47
123,3029.12
124,3016.59
125,3030.37
126,3098.85
127,3521.98
128,4394.96
129,4627.71
130,4659.37
131,4698.72
132,4734.17
133,4742.2
134,4731.15
135,4651.59
136,4570.4
137,4533.72
138,4557.42
139,4574.87
140,4584.17
141,4509.69
142,4143.99
143,3685.62
144,3329.91
145,3167.32
146,3091.48
147,3047.52
148,3026.76
149,3026.3
150,3091.51
151,3875.91
152,4352.34
153,4457.69
154,4487.3
155,4557.52
156,4613.27
157,4635.33
158,4612.35
159,4530.26
160,4434.8
161,4410.95
162,4447.7
163,4477.19
164,4509.6
165,4466.79
166,4105.87
167,3600.36
168,3320.21
169,3165.99
170,3092.12
171,3049.49
172,3026.85
173,3044.82
174,3116.69
175,3327.2
176,4206.79
177,4616.75
178,4716.21
179,4780.7
180,4760.62
181,4578.17
182,4515.85
183,4438.56
184,4554.05
185,4618.67
186,4700.23
187,4682.25
188,4574.87
189,4293.45
190,3968.14
191,3542.68
192,3296.16
193,3135.53
194,3063.51
195,3022.35
196,2999.82
197,3000.12
198,3076.58
199,3777.9
200,4433.23
201,4549.55
202,4573.92
203,4615.12
204,4663.3
205,4694.74
206,4660.79
207,4533.18
208,4553.06
209,4587.26
210,4627.07
211,4522.79
212,4311.19
213,4019.97
214,3707.64
215,3439.54
216,3300.24
