Timestamp,Total_Up_Reserve
1,3448.8
2,3285.99
3,3200.64
4,3165.33
5,3181.2
6,3412.58
7,4126.65
8,4525.15
9,4661.84
10,4725.68
11,4784.98
12,4846.68
13,4831.63
14,4782.5
15,4714.13
16,4625.24
17,4576.09
18,4585.76
19,4596.01
20,4609.75
21,4583.05
22,4379.76
23,3902.94
24,3382.3
25,3273.94
26,3211.19
27,3174.27
28,3159.51
29,3182.41
30,3284.45
31,3755.31
32,4606.81
33,4874.57
34,4912.55
35,4970.79
36,4959.09
37,4675.39
38,4584.84
39,4532.91
40,4603.16
41,4702.97
42,4756.82
43,4698.18
44,4550.65
45,4309.86
46,3984.17
47,3564.45
48,3421.96
49,3261.86
50,3174.26
51,3118.99
52,3092.24
53,3085.7
54,3149.16
55,3634.29
56,4532.34
57,4680.05
58,4711.31
59,4773.31
60,4849.74
61,4829.79
62,4708.41
63,4629.31
64,4682.45
65,4710.39
66,4736.5
67,4751.55
68,4739.8
69,4554.0
70,4193.43
71,3713.88
72,3449.28
73,3333.4
74,3239.77
75,3171.96
76,3145.71
77,3166.67
78,3264.82
79,3491.63
80,4279.75
81,4679.27
82,4778.84
83,4713.49
84,4476.32
85,4131.53
86,3954.32
87,3990.57
88,4176.98
89,4373.49
90,4468.43
91,4427.21
92,4312.02
93,4109.4
94,3805.98
95,3512.42
96,3381.11
97,3232.31
98,3149.04
99,3099.96
100,3077.27
101,3083.86
102,3139.71
103,3701.9
104,4449.55
105,4540.2
106,4570.71
107,4625.39
108,4658.71
109,4676.65
110,4645.97
111,4569.49
112,4480.67
113,4449.45
114,4472.25
115,4481.3
116,4493.46
117,4486.04
118,4212.25
119,3783.53
120,3303.51
121,3178.4
122,3109.47
123,3079.12
124,3066.59
125,3080.37
126,3148.85
127,3571.98
128,4444.96
129,4677.71
130,4709.37
131,4748.72
132,4784.17
133,4792.2
134,4781.15
135,4701.59
136,4620.4
137,4583.72
138,4607.42
139,4624.87
140,4634.17
141,4559.69
142,4193.99
143,3735.62
144,3379.91
145,3217.32
146,3141.48
147,3097.52
148,3076.76
149,3076.3
150,3141.51
151,3925.91
152,4402.34
153,4507.69
