Area,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4,DK1,DK2,FI,UK,NL,DE,PL,LT
NO1,0.0,1980,450,0,540,0,0,1930.5,0,0,0,0,0,0,0,0,0
NO2,3150.0,0,0,0,450,0,0,0.0,0,715,0,0,1400,723,1444,0,0
NO3,450.0,0,0,360,720,0,540,0.0,0,0,0,0,0,0,0,0,0
NO4,0.0,0,1080,0,0,630,225,0.0,0,0,0,0,0,0,0,0,0
NO5,3510.0,540,450,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
SE1,0.0,0,0,540,0,0,2970,0.0,0,0,0,1350,0,0,0,0,0
SE2,0.0,0,900,270,0,2970,0,6570.0,0,0,0,0,0,0,0,0,0
SE3,1885.5,0,0,0,0,0,657,0.0,5580,715,0,1080,0,0,0,0,0
SE4,0.0,0,0,0,0,0,0,2520.0,0,0,1170,0,0,0,615,600,700
DK1,0.0,1632,0,0,0,0,0,715.0,0,0,0,0,0,0,0,0,0
DK2,0.0,0,0,0,0,0,0,0.0,1530,0,0,0,0,0,0,0,0
FI,0.0,0,0,0,0,990,0,1080.0,0,0,0,0,0,0,0,0,0
UK,0.0,1400,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
NL,0.0,723,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
DE,0.0,1444,0,0,0,0,0,0.0,615,0,0,0,0,0,0,0,0
PL,0.0,0,0,0,0,0,0,0.0,600,0,0,0,0,0,0,0,0
LT,0.0,0,0,0,0,0,0,0.0,700,0,0,0,0,0,0,0,0
