Timestamp,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
1,3.0071,0.2928,0.4762,0.3102,0.2636,0.0095,-0.2635,0.7893,0.706
2,2.8321,0.2717,0.4331,0.289,0.2483,0.0095,-0.26,0.7464,0.6513
3,2.7527,0.261,0.4236,0.2762,0.2414,0.0115,-0.2712,0.7243,0.618
4,2.7285,0.2594,0.4231,0.2714,0.2394,0.0065,-0.2784,0.7138,0.6017
5,2.7395,0.2653,0.4282,0.2762,0.241,0.0077,-0.2807,0.7149,0.6071
6,2.8738,0.2856,0.4614,0.2919,0.2501,0.0322,-0.2806,0.7786,0.6908
7,3.3068,0.3427,0.58,0.332,0.2809,0.0727,-0.2552,0.9539,0.9073
8,3.7976,0.4105,0.7345,0.3946,0.317,0.1041,-0.2242,1.1267,1.1284
9,3.9966,0.4397,0.8163,0.4258,0.3342,0.1093,-0.2174,1.2038,1.2248
10,4.0665,0.4473,0.8364,0.4322,0.3411,0.1061,-0.2186,1.242,1.2516
11,4.0905,0.45,0.8429,0.4344,0.342,0.1081,-0.224,1.2676,1.2573
12,4.0398,0.4401,0.8243,0.4286,0.3378,0.0924,-0.2329,1.2672,1.2174
13,3.9887,0.4289,0.8072,0.4141,0.3318,0.1012,-0.221,1.256,1.1506
14,3.9362,0.4208,0.8024,0.4163,0.3259,0.1069,-0.2221,1.2382,1.1436
15,3.9044,0.4178,0.8031,0.4224,0.3254,0.1011,-0.2315,1.2292,1.1439
16,3.8924,0.4133,0.8121,0.4255,0.3262,0.1038,-0.2472,1.2321,1.1743
17,3.9296,0.414,0.8137,0.4183,0.3302,0.105,-0.2502,1.2386,1.2014
18,3.9315,0.4121,0.8102,0.4162,0.3305,0.1054,-0.2452,1.2649,1.2355
19,3.9013,0.4112,0.7993,0.4191,0.3294,0.1013,-0.2562,1.25,1.2159
20,3.8581,0.4087,0.7875,0.4204,0.3274,0.0927,-0.2649,1.214,1.1777
21,3.7877,0.4008,0.7678,0.4179,0.3228,0.0818,-0.2778,1.1551,1.1028
22,3.6793,0.3863,0.7326,0.4087,0.3153,0.0788,-0.2889,1.0686,0.9889
23,3.4857,0.3603,0.6812,0.3884,0.3013,0.0631,-0.3065,0.9602,0.8492
24,3.2158,0.326,0.597,0.3577,0.2798,0.0272,-0.331,0.8471,0.6854
25,3.0022,0.2977,0.5528,0.3269,0.2663,-0.0005,-0.3267,0.7815,0.5876
26,2.8356,0.2794,0.5078,0.3062,0.2509,-0.0068,-0.33,0.735,0.5178
27,2.7627,0.2703,0.4875,0.2946,0.244,-0.0085,-0.3338,0.7146,0.4871
28,2.7449,0.2673,0.4831,0.2886,0.242,-0.0062,-0.3375,0.7058,0.4724
29,2.7584,0.2714,0.4866,0.2914,0.2436,-0.0032,-0.3394,0.7101,0.4695
30,2.8922,0.287,0.5221,0.3091,0.2527,0.0159,-0.3228,0.7753,0.5469
31,3.3277,0.3412,0.6416,0.3511,0.2837,0.0492,-0.2874,0.9534,0.7782
32,3.821,0.406,0.8052,0.413,0.3201,0.0795,-0.2505,1.1284,1.009
