Timestamp,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
1,0.0,1295.0434,63.1246,297.1099,249.0708,106.2118,203.4877,0.0,111.8884
2,0.0,1294.794,59.4064,296.4452,248.1425,104.3312,196.822,0.0,110.631
3,0.0,1296.9167,51.3161,296.1882,247.7228,103.0824,202.5475,0.0,112.6791
4,0.0,1297.7882,46.8395,295.333,247.598,105.1822,207.9849,0.0,116.3722
5,0.0,1296.0163,44.2957,293.8474,247.6961,106.3351,211.1737,0.0,119.2308
6,0.0,1291.2549,44.2321,294.2905,248.2511,101.2782,221.821,0.0,122.1308
7,0.0,1291.7621,47.3131,296.4642,250.1246,99.381,232.7839,0.0,129.7106
8,0.0,1293.7072,56.857,298.3341,252.3211,100.1913,238.4311,0.0,137.0989
9,0.0,1293.0672,60.768,298.067,253.3628,103.1125,244.4438,0.0,141.3788
10,0.0,1292.5886,62.0552,299.1984,253.7835,106.1627,249.4937,0.0,145.286
11,0.0,1293.2865,63.4035,300.9398,253.8428,104.4292,254.3798,0.0,152.0837
12,0.0,1294.7437,63.2158,301.893,253.6988,110.7918,257.1394,0.0,160.1935
13,0.0,1298.0074,59.8006,301.4362,253.5429,104.7191,242.6614,0.0,166.7419
14,0.0,1297.4586,56.5634,300.0897,253.3189,100.6071,238.7012,0.0,162.9849
15,0.0,1295.6909,52.7997,297.9769,253.2286,101.5456,244.2134,0.0,153.6791
16,0.0,1295.9894,47.8551,296.4698,253.0667,103.5758,258.8606,0.0,142.9238
17,0.0,1298.8338,47.7207,295.5882,253.1296,104.7091,265.4514,0.0,135.3113
18,0.0,1301.9943,47.1596,294.5199,253.1376,107.1433,265.6597,0.0,136.5163
19,0.0,1304.1783,49.888,292.6602,253.0694,107.052,267.7665,0.0,138.8921
20,0.0,1305.1182,53.5524,292.5704,252.9536,108.8697,268.5815,0.0,138.984
21,0.0,1303.4033,52.908,290.8875,252.6689,108.9797,269.0748,0.0,139.1413
22,0.0,1301.7686,50.32,289.5189,252.2165,103.7681,266.3742,0.0,141.3557
23,0.0,1300.8224,46.2851,288.7917,251.3663,100.5541,265.2241,0.0,141.8742
24,0.0,1296.1345,44.2508,286.0804,250.0557,110.1605,268.5814,0.0,142.0876
25,0.0,1294.1677,38.2468,284.793,249.0101,113.6273,258.2768,0.0,142.6018
26,0.0,1289.604,35.3157,283.7866,248.0765,115.2816,256.7248,0.0,144.6381
27,0.0,1289.3497,32.2274,282.7341,247.6558,116.0089,256.7787,0.0,146.0545
28,0.0,1292.1234,29.5411,282.7275,247.5312,114.0569,259.6304,0.0,149.406
29,0.0,1292.8671,27.8106,282.7006,247.6311,114.268,262.4764,0.0,153.9703
30,0.0,1294.7536,26.9239,281.6913,248.1877,112.2081,260.9139,0.0,158.1068
31,0.0,1299.1577,30.4083,282.5494,250.0725,114.3704,264.7678,0.0,162.4891
32,0.0,1305.3344,36.5217,285.063,252.2806,115.9573,266.5116,0.0,167.8853
33,0.0,1307.1465,40.7291,286.3088,253.3188,112.1976,267.2599,0.0,171.0405
34,0.0,1306.062,41.4371,286.3452,253.741,110.5865,274.7971,0.0,174.1249
35,0.0,1307.4984,41.235,287.0067,253.8016,111.2256,282.7285,0.0,181.9873
36,0.0,1304.6747,42.6957,286.4162,253.6772,116.235,281.5176,0.0,188.0036
37,0.0,1306.2133,44.3728,287.7616,253.5583,112.8956,268.6272,0.0,195.0677
38,0.0,1309.0357,45.5498,289.2046,253.3227,113.1773,268.1574,0.0,194.4623
39,0.0,1307.9143,46.4606,288.031,253.226,113.518,271.3779,0.0,187.1126
40,0.0,1304.8987,48.2928,287.1487,253.0601,114.1874,275.3013,0.0,179.5081
41,0.0,1302.4603,49.2728,285.4823,253.1046,113.4898,275.7041,0.0,172.2504
42,0.0,1299.753,50.3358,286.2044,253.1099,111.6596,277.0677,0.0,174.1105
43,0.0,1297.2984,51.2171,286.9472,253.0439,110.4919,280.2999,0.0,173.5547
44,0.0,1294.9623,53.2052,286.3267,252.9279,111.1385,281.014,0.0,173.9771
45,0.0,1291.5272,52.9491,287.6383,252.6451,111.6978,282.794,0.0,173.2941
46,0.0,1289.2096,49.3513,287.7326,252.1943,110.1158,279.6225,0.0,171.0349
47,0.0,1285.9522,42.1905,287.0074,251.3392,108.5448,276.1587,0.0,167.9458
48,0.0,1283.1305,38.4238,285.8749,250.0187,108.859,272.1226,0.0,156.9451
49,0.0,1280.0976,31.1954,285.0973,248.8476,104.0957,261.9699,0.0,154.0804
50,0.0,1281.0194,28.1978,284.6337,247.92,102.9182,259.5827,0.0,150.778
51,0.0,1286.7187,26.768,285.1596,247.5015,99.8385,250.9969,0.0,148.4119
52,0.0,1292.8667,30.9221,285.9323,247.377,100.3796,242.4647,0.0,145.709
53,0.0,1295.8727,35.7627,286.9557,247.4778,99.3089,232.8184,0.0,143.1407
54,0.0,1297.4392,42.922,287.9265,248.0302,99.6189,225.7434,0.0,141.468
55,0.0,1302.2714,52.6836,288.5712,249.9041,99.9642,221.5805,0.0,143.6755
56,0.0,1309.3702,62.425,291.4044,252.1061,99.6151,221.0172,0.0,145.5965
57,0.0,1314.2756,69.6275,293.3087,253.1345,96.7381,223.9147,0.0,145.7826
58,0.0,1317.4362,75.9581,293.0981,253.5579,93.7638,229.4877,0.0,147.065
59,0.0,1319.182,79.366,293.1178,253.6157,93.6081,234.6765,0.0,152.2267
60,0.0,1313.0397,76.5729,291.641,253.4694,101.7773,249.4954,0.0,159.1958
61,0.0,1313.0101,70.5851,292.9232,253.3258,97.8969,245.2869,0.0,166.4179
62,0.0,1311.219,65.5514,292.7437,253.0855,90.8388,238.6086,0.0,166.981
63,0.0,1307.9756,61.6757,292.733,252.9677,83.9182,243.834,0.0,164.0136
