Timestamp,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
1,3623.8822,2881.1649,1581.9364,1508.5858,1942.9096,36.747,-1364.3453,6699.344,1080.9316
2,3412.9805,2673.6291,1438.7769,1405.5827,1830.3966,36.7153,-1345.9997,6335.0816,997.1265
3,3317.2701,2568.0463,1407.0236,1343.3624,1779.5179,44.4131,-1404.3382,6147.7095,946.1896
4,3288.1796,2552.7042,1405.5463,1319.9603,1764.3921,25.1595,-1441.6042,6058.5369,921.1518
5,3301.3455,2610.609,1422.2888,1343.4004,1776.2791,29.7803,-1453.1289,6067.4887,929.3946
6,3463.2774,2810.5371,1532.7466,1419.578,1843.5602,124.6939,-1452.7294,6608.7485,1057.6397
7,3985.0412,3372.0432,1926.6238,1614.4973,2070.648,281.657,-1321.45,8096.5829,1389.0776
8,4576.5753,4038.699,2439.9025,1918.842,2336.8877,403.1662,-1160.7326,9562.4906,1727.5624
9,4816.3039,4326.6409,2711.5926,2070.7931,2463.1609,423.5962,-1125.6641,10216.9316,1875.1734
10,4900.5732,4401.0976,2778.3755,2102.028,2514.1439,411.2622,-1131.565,10541.416,1916.2323
11,4929.5131,4427.3863,2799.859,2112.6846,2521.162,418.7943,-1159.8719,10758.3271,1924.9891
12,4868.3619,4330.7404,2738.1508,2084.4407,2489.866,358.0114,-1205.6135,10755.1895,1863.9135
13,4806.8672,4220.0694,2681.4115,2014.1166,2445.2946,392.1212,-1144.3021,10660.6082,1761.5923
14,4743.5368,4140.5099,2665.6408,2024.504,2402.0069,414.2864,-1149.8947,10508.7752,1750.9165
15,4705.2144,4110.5109,2667.9421,2054.1046,2398.8153,391.7845,-1198.6867,10432.4048,1751.2618
16,4690.8271,4066.9851,2697.7135,2069.3111,2404.0947,402.1842,-1279.849,10457.0222,1797.8588
17,4735.6007,4073.3532,2703.127,2034.4252,2433.5218,406.9761,-1295.2901,10512.914,1839.378
18,4737.9413,4054.8762,2691.3789,2023.9848,2435.8646,408.5702,-1269.4035,10736.0955,1891.483
19,4701.4888,4045.5568,2655.0709,2038.3825,2427.5963,392.6485,-1326.2115,10609.0793,1861.5737
20,4649.4451,4021.8351,2615.8278,2044.6532,2413.555,359.0293,-1371.528,10303.6699,1803.113
21,4564.565,3944.0041,2550.4655,2032.4306,2379.0445,316.8123,-1438.0405,9803.8586,1688.4007
22,4433.9466,3800.9838,2433.4609,1987.6931,2324.2129,305.178,-1495.7262,9069.5172,1513.955
23,4200.6283,3545.1297,2262.9297,1888.85,2221.1526,244.6814,-1586.7751,8150.0833,1300.1428
24,3875.3357,3207.9393,1983.0168,1739.7364,2062.2931,105.4119,-1713.6831,7189.7338,1049.3599
25,3617.9861,2929.3571,1836.1869,1589.9611,1962.6423,-1.7667,-1691.3887,6633.3614,899.5811
26,3417.2462,2749.5479,1686.7566,1489.3008,1849.4817,-26.4182,-1708.6917,6238.0986,792.7206
27,3329.3099,2659.3979,1619.4829,1432.8039,1798.4943,-32.8225,-1728.3457,6064.8291,745.7731
28,3307.9009,2630.2545,1604.9473,1403.663,1783.3888,-23.9589,-1747.6131,5990.8426,723.3015
29,3324.1164,2670.3708,1616.4936,1417.285,1795.4926,-12.299,-1757.0053,6026.692,718.8171
30,3485.4729,2824.3823,1734.4347,1503.0845,1862.9561,61.7212,-1671.4179,6580.1985,837.2606
31,4010.3044,3357.7213,2131.3014,1707.5372,2091.4255,190.7343,-1487.9444,8091.9302,1191.4472
32,4604.707,3994.4478,2674.7147,2008.3712,2359.0661,308.0158,-1296.7743,9577.5732,1544.7562
33,4843.2261,4269.281,2947.4562,2149.6043,2484.9076,375.3564,-1223.7412,10239.3645,1700.6403
34,4932.2773,4353.1102,3016.4905,2187.8618,2536.0902,395.1409,-1246.1976,10554.6088,1748.1375
35,4965.9212,4376.9712,3048.9419,2205.7648,2543.2238,386.6047,-1294.7855,10769.2392,1751.1823
36,4885.9649,4310.9366,2975.5576,2187.5322,2511.8673,335.7316,-1313.4872,10799.4071,1706.9299
37,4830.807,4211.4313,2882.7911,2104.0831,2467.685,350.9123,-1263.622,10682.1182,1602.3028
38,4766.0624,4108.3661,2836.7756,2095.191,2424.8668,343.0177,-1293.5745,10482.1277,1569.1005
39,4731.2076,4074.5213,2807.5576,2118.3347,2421.3179,324.1133,-1326.4763,10345.1084,1556.3154
40,4726.1518,4053.9292,2790.1872,2128.5793,2427.0178,343.8406,-1332.6107,10338.7613,1581.3354
41,4779.6609,4097.449,2786.7141,2099.2017,2456.9249,361.8357,-1304.9817,10376.4438,1620.8111
42,4796.49,4120.8796,2762.7807,2077.2527,2459.5907,392.6627,-1286.5508,10613.9942,1670.6202
43,4769.377,4144.8221,2738.4972,2074.2682,2451.5919,384.0211,-1351.0371,10517.6474,1662.615
44,4732.0932,4144.9978,2710.5953,2083.9004,2437.5376,358.545,-1395.5638,10273.5177,1602.7187
45,4655.5832,4080.4439,2642.7555,2050.9118,2403.2575,313.1217,-1471.7045,9843.2006,1492.951
46,4536.7454,3941.3845,2532.4352,1996.2142,2348.6083,275.8165,-1528.1984,9159.6405,1346.7528
47,4312.6079,3699.514,2381.0452,1897.7142,2244.9586,203.4414,-1605.3761,8276.4077,1154.299
48,3988.217,3345.6659,2108.5718,1737.7244,2084.9046,127.6699,-1684.0181,7323.8397,977.8996
49,3629.6702,2926.759,1901.2487,1592.2726,1956.0686,56.4264,-1728.092,6563.9358,783.7971
50,3437.7469,2712.1578,1753.7947,1487.7316,1843.6297,51.3243,-1739.7149,6242.0716,714.1129
51,3352.6963,2581.826,1675.7754,1420.2933,1792.8957,71.2329,-1699.1502,6130.9259,693.6081
52,3331.2371,2529.5185,1615.0788,1386.2756,1777.8147,62.7427,-1639.7665,6097.3763,711.9638
53,3346.1781,2552.9432,1582.2384,1392.9898,1790.0321,82.8999,-1563.0252,6194.7192,756.3909
54,3497.5305,2707.7425,1644.88,1465.328,1856.9898,140.8214,-1440.3035,6790.0643,913.4622
55,4013.6192,3230.1222,1996.7485,1671.1917,2084.1269,283.1947,-1202.9224,8321.2057,1277.0603
56,4588.2329,3851.8694,2514.8239,1970.6705,2351.0296,413.1953,-997.5157,9800.1498,1648.4915
57,4812.8658,4102.2841,2767.6361,2109.2056,2475.6894,474.8395,-940.563,10455.8192,1822.0433
58,4891.095,4155.166,2796.9197,2148.9912,2527.012,503.762,-950.4104,10758.5567,1880.0219
59,4914.9803,4175.6063,2802.4409,2170.3847,2533.7707,500.1954,-981.2346,10933.3292,1900.2871
60,4838.5007,4132.4739,2756.5795,2156.9266,2501.697,427.6307,-1110.4369,10848.0502,1847.7152
61,4780.0219,4044.1884,2716.9835,2072.0527,2457.2079,446.0434,-1121.0048,10686.0378,1739.9973
62,4715.1516,3972.303,2712.5102,2071.5789,2415.998,488.141,-1109.0339,10474.0924,1695.9019
63,4679.5174,3951.7677,2714.3974,2084.683,2409.6479,519.3874,-1156.351,10309.4676,1651.73
64,4668.1003,3913.1053,2712.9376,2089.4984,2414.6996,522.3157,-1215.4406,10268.6136,1663.3337
65,4714.4743,3938.8157,2712.7125,2049.8106,2443.1908,483.7771,-1244.1714,10266.6093,1677.8771
66,4719.3274,3945.7489,2692.8434,2033.8468,2445.9924,470.6942,-1289.5591,10481.1422,1717.5174
67,4684.6184,3946.2215,2654.5714,2033.6756,2439.5973,442.8637,-1396.5029,10361.5904,1697.8513
68,4642.0237,3919.5666,2615.7507,2043.355,2425.2495,426.3811,-1495.3595,10063.7267,1653.0088
69,4562.6308,3845.4895,2530.6344,2028.4212,2389.4351,407.5287,-1608.5409,9591.0621,1525.753
70,4440.7974,3714.066,2371.0018,1977.4793,2334.2402,395.7712,-1743.4082,8897.7338,1353.2928
71,4220.0365,3476.5403,2174.3595,1878.5108,2231.6259,327.3664,-1878.6713,8016.519,1140.9507
72,3901.9418,3125.6376,1920.2859,1730.9433,2074.6993,217.9972,-2068.4589,7032.3905,893.5992
73,3638.1879,2912.4059,1767.3947,1625.9755,2001.5204,129.0058,-2105.7909,6517.5536,734.3187
74,3438.9748,2713.4469,1614.1309,1526.3353,1887.004,90.1896,-2169.1036,6171.8627,636.1397
75,3347.6359,2626.8133,1522.8267,1475.1256,1834.954,66.2047,-2196.8715,6033.992,590.0681
76,3329.9535,2625.7276,1490.4157,1450.6234,1819.2627,57.8251,-2181.0961,5997.1308,590.8056
77,3348.879,2684.1757,1509.0549,1459.117,1830.877,93.1215,-2145.1258,6076.1197,616.8086
78,3499.4257,2862.0599,1636.5123,1548.7103,1896.6369,162.4411,-2030.706,6670.0961,739.8438
79,4003.6066,3389.7384,2052.1754,1753.9417,2121.6303,285.3793,-1726.5155,8157.611,1066.9163
80,4578.659,4001.2291,2625.4308,2049.6474,2387.0174,396.9634,-1464.1379,9622.1189,1404.1533
81,4817.6196,4274.7641,2927.4532,2202.5092,2516.3411,444.1051,-1304.9997,10300.348,1564.1528
82,4906.1697,4364.5372,3020.2361,2241.8319,2574.1442,485.1048,-1182.3538,10626.3307,1614.7293
83,4941.8479,4406.6688,3040.44,2265.4129,2583.2198,500.8952,-1114.5681,10828.2269,1619.5586
84,4876.9803,4324.3141,2997.4053,2244.8778,2551.5745,498.3457,-1123.295,10764.2898,1560.5571
85,4816.0007,4239.8785,2938.9825,2175.2402,2505.7934,519.1767,-1152.0584,10616.1115,1462.6924
86,4747.8284,4179.3804,2935.3736,2190.8312,2463.0215,537.3511,-1195.3721,10395.9092,1411.5333
87,4705.3264,4155.3331,2942.7515,2209.3234,2456.5888,543.4955,-1187.6626,10254.3184,1407.561
88,4698.0869,4138.872,2951.4718,2212.0087,2461.5631,593.3757,-1168.4065,10254.7033,1446.0317
89,4750.0277,4153.4528,2959.2777,2167.9632,2491.0167,637.3106,-1121.3428,10307.091,1487.6736
90,4763.4045,4150.9694,2940.0364,2147.8477,2495.5973,670.4444,-1053.0382,10562.2971,1546.9366
91,4737.9329,4162.6289,2928.8803,2140.7561,2490.5278,662.8451,-1050.4272,10482.7971,1539.9456
92,4699.8334,4159.2256,2929.5482,2143.1734,2475.9293,646.4971,-1030.535,10249.5314,1489.8659
93,4625.3304,4090.5078,2879.4735,2107.3364,2438.51,592.9378,-1041.3462,9843.0062,1394.5091
94,4506.128,3949.3264,2763.2124,2048.0054,2381.7087,522.4345,-1074.5607,9211.5204,1257.2296
95,4288.5325,3707.9168,2594.3005,1952.4597,2278.0477,433.3328,-1144.6042,8384.8693,1081.0738
96,3966.3236,3360.6737,2306.2498,1807.934,2120.2456,300.4117,-1407.1661,7439.586,882.2593
97,3683.7973,3115.5128,2091.545,1728.9227,2011.467,214.3506,-1439.2296,6791.7931,762.4125
98,3488.0109,2930.7916,1932.2289,1631.2592,1897.3175,187.9017,-1405.8269,6459.3081,715.8918
99,3397.1152,2828.8713,1849.801,1578.8446,1845.8397,167.509,-1396.8481,6343.3891,714.6134
100,3372.7355,2799.8731,1809.4443,1557.5228,1829.8193,118.1601,-1418.5505,6305.2391,744.3393
101,3387.7715,2828.4698,1809.6321,1573.2955,1840.1554,78.4797,-1397.7188,6355.6891,794.0631
102,3531.781,2984.2047,1915.6785,1646.3262,1903.3537,112.9771,-1291.1997,6926.9324,937.4659
103,4012.5191,3490.5692,2303.754,1839.1328,2119.7346,237.7007,-1064.663,8382.6228,1292.3567
104,4564.0785,4100.8025,2844.2475,2129.2221,2376.0527,358.0637,-872.2128,9821.506,1658.1415
105,4799.6851,4378.2705,3135.1158,2282.1191,2504.8103,402.7571,-775.9695,10526.6946,1841.4911
106,4897.523,4467.1414,3227.1669,2325.9067,2565.8472,420.7987,-746.9493,10896.7806,1928.6877
107,4937.8644,4519.685,3269.3758,2353.2098,2578.164,434.2112,-744.5355,11120.4106,1957.6173
108,4883.9532,4463.864,3232.0789,2338.5656,2548.6162,447.9123,-724.485,11115.3326,1943.6049
109,4829.1569,4387.4597,3127.5145,2271.2459,2504.4609,459.732,-763.7835,10992.2517,1863.7661
110,4767.9311,4305.38,3060.6311,2272.2991,2462.5764,477.5353,-821.54,10799.9126,1823.525
111,4730.147,4270.2591,3028.0931,2290.9538,2457.0843,506.5651,-862.0718,10651.7409,1808.731
112,4725.664,4231.6496,3028.7251,2298.1665,2462.9496,565.1053,-864.0205,10647.1052,1830.3401
113,4781.4725,4258.4259,3049.3163,2258.7379,2493.1917,585.4368,-810.9544,10717.3924,1830.4271
