Timestamp,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
1,0.0,1295.0434,208.1246,597.1099,669.0708,521.2118,504.4877,460.2527,111.8884
2,0.0,1294.794,204.4064,596.4452,668.1425,519.3312,497.822,456.757,110.631
3,0.0,1296.9167,196.3161,596.1882,667.7228,518.0824,503.5475,459.5463,112.6791
4,0.0,1297.7882,191.8395,595.333,667.598,520.1822,508.9849,463.8991,116.3722
5,0.0,1296.0163,189.2957,593.8474,667.6961,521.3351,512.1737,472.4255,119.2308
6,0.0,1291.2549,189.2321,594.2905,668.2511,516.2782,522.821,483.9159,122.1308
7,0.0,1291.7621,192.3131,596.4642,670.1246,514.381,533.7839,501.3494,129.7106
8,0.0,1293.7072,201.857,598.3341,672.3211,515.1913,539.4311,515.7976,137.0989
9,0.0,1293.0672,205.768,598.067,673.3628,518.1125,545.4438,522.1714,141.3788
10,0.0,1292.5886,207.0552,599.1984,673.7835,521.1627,550.4937,523.9236,145.286
11,0.0,1293.2865,208.4035,600.9398,673.8428,519.4292,555.3798,525.4507,152.0837
12,0.0,1294.7437,208.2158,601.893,673.6988,525.7918,558.1394,524.3336,160.1935
13,0.0,1298.0074,204.8006,601.4362,673.5429,519.7191,543.6614,517.3914,166.7419
14,0.0,1297.4586,201.5634,600.0897,673.3189,515.6071,539.7012,506.9812,162.9849
15,0.0,1295.6909,197.7997,597.9769,673.2286,516.5456,545.2134,493.8921,153.6791
16,0.0,1295.9894,192.8551,596.4698,673.0667,518.5758,559.8606,487.6776,142.9238
17,0.0,1298.8338,192.7207,595.5882,673.1296,519.7091,566.4514,488.5616,135.3113
18,0.0,1301.9943,192.1596,594.5199,673.1376,522.1433,566.6597,493.8387,136.5163
19,0.0,1304.1783,194.888,592.6602,673.0694,522.052,568.7665,496.9629,138.8921
20,0.0,1305.1182,198.5524,592.5704,672.9536,523.8697,569.5815,500.6113,138.984
21,0.0,1303.4033,197.908,590.8875,672.6689,523.9797,570.0748,503.9483,139.1413
22,0.0,1301.7686,195.32,589.5189,672.2165,518.7681,567.3742,503.7124,141.3557
23,0.0,1300.8224,191.2851,588.7917,671.3663,515.5541,566.2241,499.5592,141.8742
24,0.0,1296.1345,189.2508,586.0804,670.0557,525.1605,569.5814,494.3361,142.0876
25,0.0,1294.1677,183.2468,584.793,669.0101,528.6273,559.2768,493.3805,142.6018
26,0.0,1289.604,180.3157,583.7866,668.0765,530.2816,557.7248,493.3859,144.6381
27,0.0,1289.3497,177.2274,582.7341,667.6558,531.0089,557.7787,493.7194,146.0545
28,0.0,1292.1234,174.5411,582.7275,667.5312,529.0569,560.6304,495.703,149.406
29,0.0,1292.8671,172.8106,582.7006,667.6311,529.268,563.4764,500.2146,153.9703
30,0.0,1294.7536,171.9239,581.6913,668.1877,527.2081,561.9139,510.754,158.1068
31,0.0,1299.1577,175.4083,582.5494,670.0725,529.3704,565.7678,526.8906,162.4891
32,0.0,1305.3344,181.5217,585.063,672.2806,530.9573,567.5116,541.0216,167.8853
33,0.0,1307.1465,185.7291,586.3088,673.3188,527.1976,568.2599,548.2087,171.0405
34,0.0,1306.062,186.4371,586.3452,673.741,525.5865,575.7971,552.9764,174.1249
35,0.0,1307.4984,186.235,587.0067,673.8016,526.2256,583.7285,556.1706,181.9873
36,0.0,1304.6747,187.6957,586.4162,673.6772,531.235,582.5176,550.9922,188.0036
37,0.0,1306.2133,189.3728,587.7616,673.5583,527.8956,569.6272,547.5368,195.0677
38,0.0,1309.0357,190.5498,589.2046,673.3227,528.1773,569.1574,543.9585,194.4623
39,0.0,1307.9143,191.4606,588.031,673.226,528.518,572.3779,539.2658,187.1126
40,0.0,1304.8987,193.2928,587.1487,673.0601,529.1874,576.3013,537.455,179.5081
41,0.0,1302.4603,194.2728,585.4823,673.1046,528.4898,576.7041,541.4044,172.2504
42,0.0,1299.753,195.3358,586.2044,673.1099,526.6596,578.0677,545.6635,174.1105
43,0.0,1297.2984,196.2171,586.9472,673.0439,525.4919,581.2999,544.8055,173.5547
44,0.0,1294.9623,198.2052,586.3267,672.9279,526.1385,582.014,539.4559,173.9771
45,0.0,1291.5272,197.9491,587.6383,672.6451,526.6978,583.794,531.7915,173.2941
46,0.0,1289.2096,194.3513,587.7326,672.1943,525.1158,580.6225,522.3238,171.0349
47,0.0,1285.9522,187.1905,587.0074,671.3392,523.5448,577.1587,510.38,167.9458
48,0.0,1283.1305,183.4238,585.8749,670.0187,523.859,573.1226,501.3022,156.9451
49,0.0,1280.0976,176.1954,585.0973,668.8476,519.0957,562.9699,489.819,154.0804
50,0.0,1281.0194,173.1978,584.6337,667.92,517.9182,560.5827,479.4305,150.778
51,0.0,1286.7187,171.768,585.1596,667.5015,514.8385,551.9969,470.8024,148.4119
52,0.0,1292.8667,175.9221,585.9323,667.377,515.3796,543.4647,466.9269,145.709
53,0.0,1295.8727,180.7627,586.9557,667.4778,514.3089,533.8184,462.3114,143.1407
54,0.0,1297.4392,187.922,587.9265,668.0302,514.6189,526.7434,465.6558,141.468
55,0.0,1302.2714,197.6836,588.5712,669.9041,514.9642,522.5805,476.1127,143.6755
56,0.0,1309.3702,207.425,591.4044,672.1061,514.6151,522.0172,488.6827,145.5965
57,0.0,1314.2756,214.6275,593.3087,673.1345,511.7381,524.9147,495.9221,145.7826
58,0.0,1317.4362,220.9581,593.0981,673.5579,508.7638,530.4877,502.1422,147.065
