Timestamp,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
1,275.7385,2120.6016,671.9769,694.026,534.3696,786.359,1286.5337,1519.7198,1475.5669
2,275.7237,2119.0204,664.549,693.1136,530.2328,782.8929,1266.0146,1515.7887,1466.0719
3,275.5381,2117.476,646.1945,693.0375,528.6012,780.7086,1273.8665,1520.1636,1469.5924
4,276.5429,2102.2716,635.9124,690.514,523.5299,784.2854,1292.3268,1529.5497,1478.9106
5,276.5449,2096.8224,629.9318,685.3374,520.751,786.4802,1303.1324,1547.2775,1492.6189
6,277.1412,2086.5787,628.9201,685.8529,519.7444,778.6052,1327.9934,1566.7345,1508.5768
7,283.4648,2064.7704,632.9181,690.5921,518.8271,777.4969,1353.5544,1601.1516,1525.7162
8,290.6696,2048.7208,650.8415,692.9787,522.4654,780.8386,1377.0608,1628.0644,1549.5114
9,292.339,2037.1697,657.7055,690.2209,525.4965,786.5326,1394.6298,1641.1528,1573.2749
10,292.3907,2034.5978,660.1421,693.5564,527.8137,791.9661,1406.6625,1646.4115,1601.3978
11,294.1478,2037.4042,663.0743,699.1526,528.5232,788.8861,1421.6304,1659.7511,1636.3996
12,310.2685,2054.5565,663.574,702.6397,532.8127,799.7224,1443.9916,1669.3446,1677.6415
13,326.165,2087.062,657.4168,702.0181,535.8628,789.0969,1413.6167,1664.4207,1708.6029
14,329.419,2100.7765,650.6573,697.4637,539.2653,781.8206,1398.9392,1640.4753,1695.3541
15,320.9627,2090.1316,641.3515,690.1359,540.0597,783.1613,1405.3888,1604.1775,1658.4012
16,302.778,2073.0687,628.4674,684.9854,536.8359,787.0608,1425.8979,1576.8473,1618.9265
17,291.4767,2068.7068,627.7715,682.5171,533.8891,789.2221,1439.3676,1573.2664,1585.2765
18,293.2346,2079.8755,626.5721,679.1322,532.9077,793.7321,1434.423,1584.6563,1579.9979
19,293.6875,2090.5249,633.1304,672.837,532.3844,793.3217,1431.1321,1593.6242,1582.8824
20,295.1872,2093.6777,641.864,672.4642,531.8856,796.1599,1428.9944,1605.0875,1586.6073
21,295.2468,2093.9534,640.8946,667.0798,530.9215,795.7203,1411.8517,1612.4057,1591.6196
22,295.0843,2091.2089,635.8604,663.1312,530.534,785.9393,1385.4989,1614.9962,1606.0646
23,293.5131,2094.843,627.9188,661.9617,529.877,779.0961,1373.3126,1609.7229,1615.134
24,291.7855,2062.561,625.4344,654.8873,526.7687,794.6802,1377.0197,1600.1167,1615.0072
25,288.2277,2058.4047,613.9389,652.4905,524.7617,799.4384,1371.1435,1599.4738,1614.2663
26,285.603,2036.5662,608.3701,650.4249,523.7942,802.1119,1365.232,1602.0613,1618.6281
27,283.4772,2039.5591,601.7958,647.6615,526.5075,803.3548,1371.5846,1603.8668,1622.1217
28,282.6739,2075.9881,595.7328,648.0002,522.5819,799.8925,1379.4794,1616.6707,1634.4989
29,281.9072,2068.8664,591.6631,647.7433,519.8584,800.459,1391.9306,1623.0226,1637.3462
30,282.6416,2066.5863,588.7,643.3622,517.9259,797.7889,1390.3322,1639.4234,1639.3742
31,288.2968,2072.5981,593.602,643.6561,519.7482,803.7364,1398.3177,1666.5447,1649.7115
32,295.0599,2088.6961,603.4011,648.2036,524.1873,808.4448,1407.2833,1693.6183,1667.0672
33,297.4055,2101.515,610.9385,650.5548,527.5075,802.5409,1414.0543,1708.6628,1669.8554
34,296.9332,2099.0519,612.0255,650.2014,529.0078,799.873,1423.8431,1717.4927,1678.08
35,298.5835,2103.2472,611.3069,652.1558,529.7672,800.9209,1436.1334,1728.1512,1710.8866
36,322.6579,2113.2207,615.8414,650.4417,530.411,809.4126,1447.2004,1731.6538,1740.3927
37,342.2737,2128.0223,622.0116,655.9108,531.4796,803.5362,1419.5345,1731.0824,1770.9605
38,346.1222,2134.0089,625.691,660.7702,534.4565,803.9002,1413.2081,1717.9735,1770.0885
39,335.1322,2121.5899,627.1647,656.6121,537.115,804.1949,1412.5166,1694.1585,1751.3096
40,311.1724,2101.0941,629.9947,653.5777,535.8757,805.7284,1418.4204,1671.1474,1721.8687
41,294.4455,2081.4187,631.846,648.4596,533.2337,804.7165,1418.3754,1673.9453,1696.8277
42,292.8461,2076.3227,634.4758,651.1062,532.5572,801.8128,1418.7217,1682.8566,1711.3723
43,291.3654,2079.1943,636.6926,653.5866,531.0438,799.5294,1426.8664,1684.8492,1720.772
44,289.7617,2073.2288,641.4827,651.4264,529.4252,800.3334,1429.5788,1680.5399,1729.0267
45,288.1844,2077.095,641.4255,656.1487,528.4727,800.6732,1449.752,1666.9865,1725.664
46,285.3636,2081.716,634.017,657.1354,527.8719,797.1903,1450.2198,1653.3295,1717.6321
47,281.3444,2088.898,618.7376,655.9681,527.2783,793.1942,1447.2016,1635.6364,1702.1537
48,278.6479,2083.9835,612.2115,654.2216,527.4097,792.6204,1452.8814,1624.7253,1677.1595
49,273.3177,2074.8299,598.1328,653.7964,526.3398,782.7587,1432.4306,1605.2848,1669.164
50,269.3062,2079.8034,592.3955,653.5645,525.8065,780.5112,1422.8816,1583.4953,1653.8103
51,266.7807,2099.4335,589.719,656.1284,523.0092,775.1387,1402.0652,1562.0117,1648.5267
52,266.0616,2113.0373,599.7468,659.0907,522.4575,776.0067,1384.87,1551.5356,1641.4576
53,265.5749,2113.2435,611.135,662.3742,525.7318,774.3403,1364.5489,1539.3625,1635.1971
54,268.0681,2113.368,627.1066,664.6726,530.7709,775.7926,1343.012,1541.4562,1635.5517
55,273.9867,2127.1099,646.7953,664.2473,535.4066,778.595,1322.6413,1552.9819,1637.4521
56,283.4272,2145.4885,665.1354,669.8627,539.8233,779.9294,1313.9508,1569.5904,1638.1658
57,288.3385,2144.0844,679.716,674.4134,542.3832,775.5652,1316.9643,1582.9247,1632.6732
58,290.0021,2148.0448,694.0435,673.2285,544.7924,770.5242,1324.2114,1596.2205,1629.2107
59,294.0811,2146.5363,701.8371,673.0289,546.598,770.1831,1334.9562,1624.3594,1649.616
60,318.8293,2149.9925,696.3945,668.3398,545.0425,784.1748,1356.4397,1661.1194,1674.2439
61,337.9666,2157.4257,684.6084,673.62,543.2113,777.3517,1352.8718,1675.6877,1703.9098
62,344.1862,2165.4525,673.7967,673.0389,542.6027,764.9487,1345.2307,1669.4552,1709.9953
63,330.9534,2162.7096,663.9994,672.8286,541.2172,752.619,1360.4633,1657.6922,1694.5152
64,307.8612,2139.3184,659.8955,671.5871,538.3007,758.0511,1400.9328,1646.2318,1665.8402
65,291.7742,2118.8615,659.7666,671.3476,538.8383,771.2308,1435.9686,1657.7065,1642.1609
66,292.6944,2120.3392,661.3867,671.232,538.9356,779.3347,1468.0239,1674.7372,1645.7658
67,293.1759,2123.6162,668.7157,672.7896,537.3754,781.8808,1487.7529,1683.0947,1652.2515
68,292.6541,2110.3121,676.7562,670.2531,536.4031,780.4599,1498.8544,1687.9754,1646.4869
69,291.2614,2105.6291,681.2298,665.5485,536.1837,773.959,1512.5092,1690.205,1643.0036
70,289.0994,2110.1142,689.9982,663.7075,537.0787,764.0491,1532.2969,1689.0772,1648.6367
71,285.5138,2114.239,691.3701,662.934,538.3028,759.386,1547.3465,1681.1429,1652.9223
72,283.5406,2104.7488,680.6486,656.2986,535.6983,767.4395,1578.2388,1686.7677,1654.7581
73,280.1035,2088.4762,674.495,660.2454,534.5738,769.239,1574.1202,1665.8243,1649.3389
74,277.2124,2076.6532,669.9005,657.046,532.7527,775.4222,1581.8637,1650.099,1646.5665
