Timestamp,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
1,447.7385,2120.6016,816.9769,994.026,954.3696,1201.359,1587.5337,2244.7198,1475.5669
2,447.7237,2119.0204,809.549,993.1136,950.2328,1197.8929,1567.0146,2240.7887,1466.0719
3,447.5381,2117.476,791.1945,993.0375,948.6012,1195.7086,1574.8665,2245.1636,1469.5924
4,448.5429,2102.2716,780.9124,990.514,943.5299,1199.2854,1593.3268,2254.5497,1478.9106
5,448.5449,2096.8224,774.9318,985.3374,940.751,1201.4802,1604.1324,2272.2775,1492.6189
6,449.1412,2086.5787,773.9201,985.8529,939.7444,1193.6052,1628.9934,2291.7345,1508.5768
7,455.4648,2064.7704,777.9181,990.5921,938.8271,1192.4969,1654.5544,2326.1516,1525.7162
8,462.6696,2048.7208,795.8415,992.9787,942.4654,1195.8386,1678.0608,2353.0644,1549.5114
9,464.339,2037.1697,802.7055,990.2209,945.4965,1201.5326,1695.6298,2366.1528,1573.2749
10,464.3907,2034.5978,805.1421,993.5564,947.8137,1206.9661,1707.6625,2371.4115,1601.3978
11,466.1478,2037.4042,808.0743,999.1526,948.5232,1203.8861,1722.6304,2384.7511,1636.3996
12,482.2685,2054.5565,808.574,1002.6397,952.8127,1214.7224,1744.9916,2394.3446,1677.6415
13,498.165,2087.062,802.4168,1002.0181,955.8628,1204.0969,1714.6167,2389.4207,1708.6029
14,501.419,2100.7765,795.6573,997.4637,959.2653,1196.8206,1699.9392,2365.4753,1695.3541
15,492.9627,2090.1316,786.3515,990.1359,960.0597,1198.1613,1706.3888,2329.1775,1658.4012
16,474.778,2073.0687,773.4674,984.9854,956.8359,1202.0608,1726.8979,2301.8473,1618.9265
17,463.4767,2068.7068,772.7715,982.5171,953.8891,1204.2221,1740.3676,2298.2664,1585.2765
18,465.2346,2079.8755,771.5721,979.1322,952.9077,1208.7321,1735.423,2309.6563,1579.9979
19,465.6875,2090.5249,778.1304,972.837,952.3844,1208.3217,1732.1321,2318.6242,1582.8824
20,467.1872,2093.6777,786.864,972.4642,951.8856,1211.1599,1729.9944,2330.0875,1586.6073
21,467.2468,2093.9534,785.8946,967.0798,950.9215,1210.7203,1712.8517,2337.4057,1591.6196
22,467.0843,2091.2089,780.8604,963.1312,950.534,1200.9393,1686.4989,2339.9962,1606.0646
23,465.5131,2094.843,772.9188,961.9617,949.877,1194.0961,1674.3126,2334.7229,1615.134
24,463.7855,2062.561,770.4344,954.8873,946.7687,1209.6802,1678.0197,2325.1167,1615.0072
25,460.2277,2058.4047,758.9389,952.4905,944.7617,1214.4384,1672.1435,2324.4738,1614.2663
26,457.603,2036.5662,753.3701,950.4249,943.7942,1217.1119,1666.232,2327.0613,1618.6281
27,455.4772,2039.5591,746.7958,947.6615,946.5075,1218.3548,1672.5846,2328.8668,1622.1217
28,454.6739,2075.9881,740.7328,948.0002,942.5819,1214.8925,1680.4794,2341.6707,1634.4989
29,453.9072,2068.8664,736.6631,947.7433,939.8584,1215.459,1692.9306,2348.0226,1637.3462
30,454.6416,2066.5863,733.7,943.3622,937.9259,1212.7889,1691.3322,2364.4234,1639.3742
31,460.2968,2072.5981,738.602,943.6561,939.7482,1218.7364,1699.3177,2391.5447,1649.7115
32,467.0599,2088.6961,748.4011,948.2036,944.1873,1223.4448,1708.2833,2418.6183,1667.0672
33,469.4055,2101.515,755.9385,950.5548,947.5075,1217.5409,1715.0543,2433.6628,1669.8554
34,468.9332,2099.0519,757.0255,950.2014,949.0078,1214.873,1724.8431,2442.4927,1678.08
35,470.5835,2103.2472,756.3069,952.1558,949.7672,1215.9209,1737.1334,2453.1512,1710.8866
36,494.6579,2113.2207,760.8414,950.4417,950.411,1224.4126,1748.2004,2456.6538,1740.3927
37,514.2737,2128.0223,767.0116,955.9108,951.4796,1218.5362,1720.5345,2456.0824,1770.9605
38,518.1222,2134.0089,770.691,960.7702,954.4565,1218.9002,1714.2081,2442.9735,1770.0885
39,507.1322,2121.5899,772.1647,956.6121,957.115,1219.1949,1713.5166,2419.1585,1751.3096
40,483.1724,2101.0941,774.9947,953.5777,955.8757,1220.7284,1719.4204,2396.1474,1721.8687
41,466.4455,2081.4187,776.846,948.4596,953.2337,1219.7165,1719.3754,2398.9453,1696.8277
42,464.8461,2076.3227,779.4758,951.1062,952.5572,1216.8128,1719.7217,2407.8566,1711.3723
43,463.3654,2079.1943,781.6926,953.5866,951.0438,1214.5294,1727.8664,2409.8492,1720.772
44,461.7617,2073.2288,786.4827,951.4264,949.4252,1215.3334,1730.5788,2405.5399,1729.0267
45,460.1844,2077.095,786.4255,956.1487,948.4727,1215.6732,1750.752,2391.9865,1725.664
46,457.3636,2081.716,779.017,957.1354,947.8719,1212.1903,1751.2198,2378.3295,1717.6321
47,453.3444,2088.898,763.7376,955.9681,947.2783,1208.1942,1748.2016,2360.6364,1702.1537
48,450.6479,2083.9835,757.2115,954.2216,947.4097,1207.6204,1753.8814,2349.7253,1677.1595
49,445.3177,2074.8299,743.1328,953.7964,946.3398,1197.7587,1733.4306,2330.2848,1669.164
50,441.3062,2079.8034,737.3955,953.5645,945.8065,1195.5112,1723.8816,2308.4953,1653.8103
51,438.7807,2099.4335,734.719,956.1284,943.0092,1190.1387,1703.0652,2287.0117,1648.5267
52,438.0616,2113.0373,744.7468,959.0907,942.4575,1191.0067,1685.87,2276.5356,1641.4576
53,437.5749,2113.2435,756.135,962.3742,945.7318,1189.3403,1665.5489,2264.3625,1635.1971
54,440.0681,2113.368,772.1066,964.6726,950.7709,1190.7926,1644.012,2266.4562,1635.5517
55,445.9867,2127.1099,791.7953,964.2473,955.4066,1193.595,1623.6413,2277.9819,1637.4521
56,455.4272,2145.4885,810.1354,969.8627,959.8233,1194.9294,1614.9508,2294.5904,1638.1658
57,460.3385,2144.0844,824.716,974.4134,962.3832,1190.5652,1617.9643,2307.9247,1632.6732
58,462.0021,2148.0448,839.0435,973.2285,964.7924,1185.5242,1625.2114,2321.2205,1629.2107
59,466.0811,2146.5363,846.8371,973.0289,966.598,1185.1831,1635.9562,2349.3594,1649.616
60,490.8293,2149.9925,841.3945,968.3398,965.0425,1199.1748,1657.4397,2386.1194,1674.2439
61,509.9666,2157.4257,829.6084,973.62,963.2113,1192.3517,1653.8718,2400.6877,1703.9098
62,516.1862,2165.4525,818.7967,973.0389,962.6027,1179.9487,1646.2307,2394.4552,1709.9953
63,502.9534,2162.7096,808.9994,972.8286,961.2172,1167.619,1661.4633,2382.6922,1694.5152
64,479.8612,2139.3184,804.8955,971.5871,958.3007,1173.0511,1701.9328,2371.2318,1665.8402
65,463.7742,2118.8615,804.7666,971.3476,958.8383,1186.2308,1736.9686,2382.7065,1642.1609
66,464.6944,2120.3392,806.3867,971.232,958.9356,1194.3347,1769.0239,2399.7372,1645.7658
67,465.1759,2123.6162,813.7157,972.7896,957.3754,1196.8808,1788.7529,2408.0947,1652.2515
68,464.6541,2110.3121,821.7562,970.2531,956.4031,1195.4599,1799.8544,2412.9754,1646.4869
69,463.2614,2105.6291,826.2298,965.5485,956.1837,1188.959,1813.5092,2415.205,1643.0036
70,461.0994,2110.1142,834.9982,963.7075,957.0787,1179.0491,1833.2969,2414.0772,1648.6367
71,457.5138,2114.239,836.3701,962.934,958.3028,1174.386,1848.3465,2406.1429,1652.9223
72,455.5406,2104.7488,825.6486,956.2986,955.6983,1182.4395,1879.2388,2411.7677,1654.7581
73,452.1035,2088.4762,819.495,960.2454,954.5738,1184.239,1875.1202,2390.8243,1649.3389
74,449.2124,2076.6532,814.9005,957.046,952.7527,1190.4222,1882.8637,2375.099,1646.5665
75,447.7264,2069.2322,815.7678,951.1556,952.1231,1196.0222,1885.5378,2362.3126,1655.1123
76,445.9274,2073.9311,815.6553,948.8301,950.4038,1196.689,1885.5,2354.9395,1667.7259
77,444.3383,2081.0001,809.0129,950.5468,948.9662,1191.1496,1880.9522,2351.4668,1679.8185
78,446.1851,2086.6878,802.7536,943.4392,950.1704,1189.3348,1876.7973,2358.9982,1686.4553
79,452.5102,2093.4591,799.7552,941.3912,952.8774,1196.6359,1857.768,2378.09,1697.5827
80,459.8167,2120.2147,798.8125,946.5559,955.1744,1202.4346,1835.9202,2398.4469,1705.8195
81,463.0971,2114.8325,799.4511,945.8661,954.812,1202.3127,1812.5863,2412.6983,1712.3999
